Name,Price,Rating
The Langham,‎$316,96
Swissotel Chicago,‎$159,86
Trump International Hotel & Tower Chicago,‎$296,93
Hyatt Regency McCormick Place,‎$134,85
Warwick Allerton Hotel Chicago,‎$150,80
Jaslin,‎$111,81
The Whitehall,‎$139,80
Hyatt Place Chicago/Downtown-The Loop,‎$161,86
Raffaello,‎$179,83
Congress Plaza,‎$117,68
The Willows,‎$137,84
Millennium Knickerbocker Chicago,‎$161,85
River,‎$103,85
Inn of Chicago - Magnificent Mile,‎$112,70
Hyatt Place Chicago - River North,‎$170,89
Embassy Suites by Hilton Chicago Downtown Magnificent Mile,‎$152,86
Chicago's Essex Inn,‎$116,75
Hilton Garden Inn Chicago Downtown Magnificent Mile,‎$130,87
Hyatt Regency Chicago,"‎$1,034",84
La Quinta Inn & Suites Chicago - Lake Shore,‎$159,78
Marriott Chicago Downtown Magnificent Mile,‎$219,78
Hard Rock Chicago,‎$161,82
Inn at Lincoln Park,‎$159,68
Dana Hotel & Spa,‎$189,88
The Silversmith,‎$142,89
Wyndham Grand Chicago Riverfront,‎$169,86
Loews Chicago Hotel,‎$209,92
Best Western Grant Park,‎$107,69
Sheraton Grand Chicago,‎$199,82
Sofitel Chicago Water Tower,‎$202,91
Park Hyatt Chicago,‎$336,92
Omni Chicago,‎$178,88
Residence Inn Chicago Downtown/Loop,‎$239,88
The Peninsula Chicago,‎$399,94
Public Chicago,‎$183,85
Courtyard Chicago Downtown Magnificent Mile,‎$170,87
City Suites,‎$137,81
Joie de Vivre Lincoln ,‎$169,85
Embassy Suites Chicago-Downtown,‎$145,86
"The Gwen, a Luxury Collection Hotel, Chicago",‎$139,91
MileNorth ,‎$127,87
Carleton Of Oak Park,‎$134,82
Chicago South Loop,‎$107,78
Felix,‎$127,80
Holiday Inn Chicago-Mart Plaza Riverview,‎$127,82
Ohio House Motel,‎$144,76
Freehand Chicago,‎$149,86
Four Seasons Hotel Chicago,‎$325,91
Thompson Chicago,‎$229,92
Chicago Athletic Association,‎$157,90
Ohio House Motel,‎$144,86
Freehand Chicago,‎$149,92
Four Seasons Hotel Chicago,‎$325,69
Thompson Chicago,‎$229,82
Hyatt Chicago Magnificent Mile ,‎$199,91
Chicago Athletic Association,‎$157,92
The Westin Michigan Avenue Chicago,‎$199,88
Hilton Suites Chicago-Magnificent Mile,‎$143,88
Hilton Chicago,‎$199,94
"Radisson Blu Aqua Hotel, Chicago, IL",‎$199,85
InterContinental Chicago Magnificent Mile,‎$195,87
SpringHill Suites Chicago Downtown - River North,‎$190,81
Blake Chicago,‎$159,85
"Club Quarters Hotel, Wacker at Michigan",‎$103,86
Kinzie Hotel,‎$165,91
SpringHill Suites Chicago O'Hare,‎$129,87
The James Chicago,‎$159,82
Hampton Inn Chicago Downtown/N Loop/Michigan Ave,‎$161,78
"The Hotel Chicago Downtown, Autograph Collection",‎$199,80
Homewood Suites by Hilton Chicago-Downtown,‎$161,82
La Quinta Inn & Suites Chicago Downtown,‎$159,76
Ivy Boutique,‎$169,86
Crowne Plaza Chicago Metro Downtown,‎$142,91
Fairmont Chicago Millennium Park,‎$203,92
The Ritz-Carlton Chicago,‎$319,90
Kimpton Hotel Burnham,‎$169,89
Residence Inn Chicago Downtown - River North,‎$185,89
Waldorf Astoria Chicago ,‎$375,93
AC Chicago,‎$209,83
Inn at Lincoln Park,‎$159,68
Hard Rock Chicago,‎$161,82
Central Loop Hotel,‎$112,84
Homewood Suites by Hilton Chicago-Downtown,‎$161,87
Hyatt Centric The Loop Chicago,‎$161,88
The Westin Chicago River North,‎$195,86
Travelodge Downtown Chicago,‎$93,67
Carleton Of Oak Park,‎$134,82
DoubleTree by Hilton Chicago Magnificent Mile,‎$118,82
Hampton Inn Chicago Downtown-Magnificent Mile,‎$169,83
Majestic,‎$144,84
Homewood Suites by Hilton Chicago Downtown Magnificent Mile,‎$169,87
Fairfield Inn & Suites Chicago Downtown River North,‎$180,88
Red Roof Inn Chicago Downtown,‎$110,62
Hyatt Regency Chicago,"‎$1,034",84
The Westin Michigan Avenue Chicago,‎$199,81
Fairfield Inn & Suites Chicago Downtown,‎$189,86
Clarion Midway Airport,‎$107,72
Hilton Garden Inn Chicago/North Loop,‎$169,87
Aloft Chicago City Center,‎$173,88
Best Western Plus River North,‎$110,78
