Name,Price,Rating
The Langham,‎$316,96
Swissotel Chicago,‎$159,86
Trump International Hotel & Tower Chicago,‎$296,93
"Radisson Blu Aqua Hotel, Chicago, IL",‎$199,89
Embassy Suites by Hilton Chicago Downtown Magnificent Mile,‎$152,86
Kimpton Palomar Chicago,‎$159,91
Hilton Suites Chicago-Magnificent Mile,‎$143,84
Chicago's Essex Inn,‎$116,75
Four Seasons Hotel Chicago,‎$325,91
Joie de Vivre Lincoln ,‎$169,85
Thompson Chicago,‎$229,92
Inn of Chicago - Magnificent Mile,‎$112,70
Hyatt Regency McCormick Place,‎$134,85
MileNorth ,‎$127,87
The Silversmith,‎$142,89
Chicago Athletic Association,‎$157,90
Felix,‎$127,80
Fairmont Chicago Millennium Park,‎$203,83
The James Chicago,‎$159,89
Omni Chicago,‎$178,88
Hilton Garden Inn Chicago Downtown Magnificent Mile,‎$130,87
River,‎$103,85
The Willows,‎$137,84
The Godfrey Chicago,‎$149,88
The Whitehall,‎$139,80
The James Chicago,‎$159,89
Chicago Athletic Association,‎$157,90
Marriott Chicago Downtown Magnificent Mile,‎$219,78
Sheraton Grand Chicago,‎$199,82
Courtyard Chicago Downtown Magnificent Mile,‎$170,87
Hyatt Chicago Magnificent Mile ,‎$199,88
Hilton Garden Inn Chicago Downtown Magnificent Mile,‎$119,87
The Godfrey Chicago,‎$149,88
Central Loop Hotel,‎$112,84
Comfort Suites Chicago,‎$179,85
Jaslin,‎$111,81
Loews Chicago Hotel,‎$209,92
DoubleTree by Hilton Chicago Magnificent Mile,‎$118,82
Kimpton Palomar Chicago,‎$159,91
Kimpton Monaco Chicago,‎$179,90
"Club Quarters Hotel, Wacker at Michigan",‎$103,83
Sofitel Chicago Water Tower,‎$202,91
Congress Plaza,‎$117,68
The Drake,‎$163,86
Inn of Chicago - Magnificent Mile,‎$112,70
La Quinta Inn & Suites Chicago Downtown,‎$159,84
Chicago South Loop,‎$107,78
InterContinental Chicago Magnificent Mile,‎$195,82
The Peninsula Chicago,‎$399,94
The Ritz-Carlton Chicago,‎$319,91
Hampton Inn & Suites Chicago,‎$137,89
AC Chicago,‎$201,90
Comfort Suites Chicago,‎$179,78
Millennium Knickerbocker Chicago,‎$169,82
InterContinental Chicago Magnificent Mile,‎$212,87
Residence Inn Chicago Downtown/Loop,‎$229,88
Kinzie Hotel,‎$155,87
Hilton Chicago,‎$143,88
Marriott Chicago Downtown Magnificent Mile,‎$229,84
Loews Chicago Hotel,‎$299,85
Crowne Plaza Chicago Metro Downtown,‎$144,81
River,‎$112,92
City Suites,‎$158,82
DoubleTree by Hilton Chicago Magnificent Mile,‎$132,91
Holiday Inn Express Chicago - Magnificent Mile,‎$127,90
Hilton Garden Inn Chicago/North Loop,‎$169,83
Sheraton Grand Chicago,‎$419,91
Club Quarters Hotel Central Loop,‎$103,68
Inn at Lincoln Park,‎$189,86
Homewood Suites by Hilton Chicago-Downtown,‎$178,70
Courtyard Chicago Downtown-River North,‎$199,84
Aloft Chicago City Center,‎$185,78
Wyndham Grand Chicago Riverfront,‎$219,82
Days Inn Chicago,‎$159,94
Best Western Grant Park,‎$107,91
Holiday Inn Express Chicago - Magnificent Mile,‎$127,79
Homewood Suites By Hilton Chicago Lincolnshire,‎$127,84
Holiday Inn Chicago-Mart Plaza Riverview,‎$136,82
The Talbott Hotel,‎$152,93
Kimpton Palomar Chicago,‎$171,91
The Ritz-Carlton Chicago,‎$319,91
Hampton Inn Chicago Downtown-Magnificent Mile,‎$169,83
The Drake,‎$163,86
Courtyard Chicago Downtown-River North,‎$199,84
The Westin Chicago River North,‎$293,86
Days Inn Chicago,‎$159,83
Hampton Inn & Suites Chicago,‎$137,87
Waldorf Astoria Chicago ,‎$375,93
Freehand Chicago,‎$149,86
Acme Hotel Company,‎$130,88
Chicago Athletic Association,‎$157,90
Hilton Chicago,‎$143,81
Holiday Inn Chicago O'hare Area,‎$94,75
Residence Inn Chicago Downtown - River North,‎$190,89
Hilton Chicago O'Hare Airport,‎$219,80
Fairfield Inn & Suites Chicago Downtown,‎$159,86
La Quinta Inn & Suites Chicago - Lake Shore,‎$103,61
The Peninsula Chicago,‎$399,94
Kimpton Monaco Chicago,‎$181,90
Skyblue Apartment,‎$167,81
