Name,Price,Rating,Room.Type,City,Bed(s)
Miyako,‎$279,80,Private room,la,1
Bel-Air,‎$645,92,Private room,la,1
Sheraton Gateway Los Angeles,‎$170,80,Private room,la,1
The Standard Downtown LA,‎$209,77,Private room,la,1
The Ritz-Carlton Los Angeles,‎$499,88,Private room,la,1
The L.A. Hotel Downtown,‎$228,79,Private room,la,1
Omni Los Angeles at California Plaza,‎$203,88,Private room,la,1
Ace Hotel Downtown Los Angeles,‎$278,83,Private room,la,1
Four Points by Sheraton Los Angeles International Airport,‎$125,71,Private room,la,1
Hollywood Hotel,‎$349,75,Private room,la,1
Luxe City Center Hotel,‎$206,82,Private room,la,1
The Westin Bonaventure,‎$219,81,Private room,la,1
Carlyle Inn,‎$289,78,Private room,la,1
Stillwell,‎$97,57,Private room,la,1
The Union Station Inn Bed & Breakfast,‎$254,75,Private room,la,1
JW Marriott Los Angeles,‎$299,87,Private room,la,1
Angeleno,‎$224,78,Private room,la,1
Kimpton Palomar LA Beverly Hills,‎$232,83,Private room,la,1
The Orlando,‎$202,81,Private room,la,1
The Line,‎$188,82,Private room,la,1
Hilton Los Angeles Airport,‎$135,79,Private room,la,1
Sofitel Los Angeles at Beverly Hills,‎$309,88,Private room,la,1
Luxe Sunset Boulevard,‎$255,83,Private room,la,1
Quality Inn & Suites Los Angeles,‎$124,60,Private room,la,1
O Hotel,‎$199,73,Private room,la,1
Sofitel Los Angeles at Beverly Hills,‎$329,88,Private room,la,1
Howard Johnson Los Angeles / Near Convention Center,‎$149,71,Private room,la,1
Residence Inn Los Angeles LAX Century Boulevard,‎$178,88,Private room,la,1
DoubleTree by Hilton Los Angeles Downtown,‎$159,81,Private room,la,1
Beverly Hills Plaza and Spa,‎$275,83,Private room,la,1
Vagabond Inn Los Angeles USC,‎$109,73,Private room,la,1
"Radisson Midtown at USC, Los Angeles",‎$159,79,Private room,la,1
Sheraton Grand Los Angeles,‎$199,76,Private room,la,1
Ramada Los Angeles / Downtown West,‎$149,69,Private room,la,1
Carlyle Inn,‎$289,78,Private room,la,1
Azul Inn West Los Angeles,‎$163,75,Private room,la,1
O Hotel,‎$199,73,Private room,la,1
Courtyard Los Angeles L.A. Live,‎$259,85,Private room,la,1
The Westin Los Angeles Airport,‎$127,77,Private room,la,1
Millennium Biltmore Los Angeles,‎$216,76,Private room,la,1
Embassy Suites Los Angeles-International Airport North,‎$169,83,Private room,la,1
Intercontinental Los Angeles Century City,‎$383,84,Private room,la,1
Comfort Inn CA785,‎$135,76,Private room,la,1
Hilton Checkers Los Angeles,‎$233,82,Private room,la,1
Farmer's Daughter,‎$250,83,Private room,la,1
Extended Stay America Los Angeles - LAX Airport,‎$130,68,Private room,la,1
Rodeway Inn Los Angeles,‎$144,68,Private room,la,1
