Accommodates,Bathrooms,Bedrooms,Beds,Check.In,Check.Out,Property.type,Room.type,Extra.people,Weekly.discount,Monthly.discount,Cancellation,Response.time,ID,price,e,city,price_per_indv
3, 1 (Private),1,2, Anytime after 2PM, 12PM (noon), Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,12917317,369,1,ch,123
8, 1,2,2,,, Apartment, Entire home/apt, $10 / night after 2 guests, 0%, 0%, Strict, within a day,1203039,129,2,ch,16.125
4, 1,1,2,,, House, Private room, $25 / night after 2 guests, 15%, 30%, Flexible, within a day,8099577,75,3,ch,18.75
2, 2,1,1, Flexible, 12PM (noon), Apartment, Private room, $25 / night after the first guest, 2%, 2%, Strict, within an hour,14058275,29,4,ch,14.5
2, 1 (Shared),1,1, Flexible, 1PM, Apartment, Private room,,,, Strict, within an hour,13960999,199,5,ch,99.5
8, 2,3,4, 1PM - 2AM (next day), 11AM, Condominium, Entire home/apt, No Charge, 10%, 20%, Flexible, within an hour,13694448,75,6,ch,9.375
2, 1,1,1, Anytime after 4PM, 11AM, Apartment, Private room, No Charge, 10%, 15%, Moderate, within an hour,11670248,97,7,ch,48.5
2, 1,1,1, Anytime after 3PM, 11AM, House, Private room, $10 / night after the first guest, 0%, 15%, Strict, within an hour,12090956,49,8,ch,24.5
2, 1,1,1, 3PM - 11PM, 12PM (noon), Apartment, Private room, No Charge, 20%, 30%, Flexible, within a few hours,12308104,100,9,ch,50
2, 1 (Shared),1,1, 7PM - 1AM (next day), 3PM, Apartment, Shared room, $35 / night after the first guest, 0%, 0%, Strict, within an hour,13507517,99,10,ch,49.5
2, 1 (Private),1,1, 3PM - 2AM (next day), 12PM (noon), Apartment, Private room,, 3%, 7%, Moderate, within an hour,13979763,86,11,ch,43
2, 1 (Private),1,1, Anytime after 1PM, 12PM (noon), Apartment, Private room, No Charge, 0%, 0%, Flexible, within an hour,504564,125,12,ch,62.5
2, 1 (Private),0,1, 3PM - 10PM, 12PM (noon), Apartment, Entire home/apt,, 15%,, Moderate, within an hour,14085322,68,13,ch,34
2, 1,0,1, 11AM - 12PM (noon), 9AM, Apartment, Entire home/apt, No Charge, 15%, 40%, Strict, within an hour,12210530,30,14,ch,15
3, 1,1,3, 1PM - 12AM (midnight), 10AM, Apartment, Private room, $10 / night after 2 guests, 10%, 28%, Strict, within an hour,3061036,104,15,ch,34.6666666666667
2, 1 (Private),1,1, Flexible,, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,13813426,59,16,ch,29.5
1, 1,1,1, 2PM - 2AM (next day), 11AM, Apartment, Private room,, 0%, 0%, Strict, within an hour,4785917,80,17,ch,80
2, 1,1,1,,, Apartment, Private room, No Charge, 18%, 44%, Moderate, within an hour,1857003,85,18,ch,42.5
3, 1,1,1, Anytime after 3PM, 10AM, Apartment, Entire home/apt, $20 / night after 2 guests, 0%, 0%, Strict, within an hour,5928976,65,19,ch,21.6666666666667
3, 1,1,2, Anytime after 2PM, 12PM (noon), Apartment, Entire home/apt, $10 / night after the first guest, 10%, 0%, Moderate, within an hour,9079892,109,20,ch,36.3333333333333
2, 2 (Shared),1,1,,, Apartment, Private room,, 0%, 0%, Moderate, within an hour,9351265,39,21,ch,19.5
2, 1,1,1, 12PM (noon) - 9PM, 2PM, Apartment, Entire home/apt, No Charge,,, Moderate, within an hour,13909451,72,22,ch,36
2, 1,1,1, Anytime after 4PM, 12PM (noon), Loft, Entire home/apt,, 15%, 20%, Strict, within an hour,3440257,120,23,ch,60
2, 1 (Private),1,1, Anytime after 1PM, 11AM, Condominium, Private room,, 15%, 32%, Strict, within an hour,12509442,59,24,ch,29.5
2, 1,1,1,,, Apartment, Shared room,, 0%, 0%, Flexible, within an hour,5047780,50,25,ch,25
2, 1,1,1, 10AM - 12AM (midnight), 9AM, Apartment, Private room, No Charge, 0%, 0%, Strict, within an hour,7632657,80,26,ch,40
2, 1 (Private),1,1,,, Apartment, Private room, No Charge,,, Flexible, within an hour,13866762,140,27,ch,70
2, 1 (Private),1,1,,, Apartment, Entire home/apt, No Charge, 0%, 0%, Flexible, within a few hours,13617318,65,28,ch,32.5
4, 2,2,2, Anytime after 3PM, 11AM, Apartment, Entire home/apt,, 15%, 30%, Strict, within an hour,12410780,153,29,ch,38.25
4, 1 (Private),0,1, Anytime after 4PM, 11AM, Apartment, Entire home/apt, $25 / night after 2 guests, 5%, 10%, Strict, within an hour,4083688,105,30,ch,26.25
2, 1 (Private),1,1, 5PM - 9PM, 10AM, House, Private room, $10 / night after the first guest, 3%, 0%, Strict, within an hour,7591555,54,31,ch,27
3, 1,0,3, 2PM - 11PM, 11AM, Apartment, Entire home/apt, $10 / night after 2 guests, 4%, 9%, Moderate, within an hour,13082729,129,32,ch,43
2, 1 (Shared),1,2, Anytime after 3PM, 12PM (noon), Apartment, Shared room,, 10%, 25%, Moderate, within a few hours,8300707,37,33,ch,18.5
2, 1,1,1, Anytime after 3PM, 11AM, Apartment, Private room, $10 / night after the first guest, 0%, 0%, Moderate, within an hour,8826603,60,34,ch,30
3, 1,1,1, Anytime after 2PM, 12PM (noon), Apartment, Private room, $20 / night after 2 guests, 6%, 10%, Moderate, within an hour,7783924,80,35,ch,26.6666666666667
2, 1,1,2,,, House, Private room,,,, Strict, within an hour,12602880,49,36,ch,24.5
2, 1,1,1,,, House, Private room,, 10%, 20%, Moderate, within an hour,8149591,54,37,ch,27
2, 1 (Private),1,1, Anytime after 3PM, 12PM (noon), Condominium, Private room, No Charge, 2%, 17%, Strict, within an hour,7476702,95,38,ch,47.5
2, 1,1,1,,, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,13699468,115,39,ch,57.5
2, 1.5,1,1, Anytime after 2PM, 12PM (noon), House, Private room, No Charge, 0%, 0%, Flexible, within an hour,4354983,85,40,ch,42.5
4, 1 (Private),2,3, Anytime after 11AM, 11AM, Apartment, Entire home/apt,, 0%, 0%, Strict, within an hour,12136155,60,41,ch,15
2, 1.5,1,1, Anytime after 3PM, 11AM, Townhouse, Private room,, 10%, 20%, Moderate, within an hour,8035220,70,42,ch,35
2, 1,1,1, Anytime after 3PM, 12PM (noon), Apartment, Private room,, 0%, 10%, Strict, within an hour,6948053,50,43,ch,25
1, 1,1,1,,, Apartment, Private room,,,, Flexible, within a few hours,14012641,55,44,ch,55
1, 1 (Shared),1,1,,, House, Private room,, 10%, 20%, Flexible, within a few hours,9531440,43,45,ch,43
1, 2,1,1, Flexible, 12PM (noon), Apartment, Private room,, 10%, 20%, Moderate, within an hour,1089455,75,46,ch,75
3, 1 (Private),1,1, Anytime after 3PM, 12PM (noon), Entire Floor, Private room, $15 / night after 2 guests, 10%, 15%, Strict, within an hour,7935934,79,47,ch,26.3333333333333
1, 1,1,1,,, Condominium, Private room,, 13%, 40%, Strict, within an hour,611839,40,48,ch,40
2, 1 (Shared),1,1, 8AM - 2AM (next day), 10PM, Apartment, Private room, No Charge, 10%, 0%, Moderate, within an hour,7418174,57,49,ch,28.5
3, 1,1,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt, $25 / night after 2 guests, 10%, 15%, Strict, within an hour,3798087,149,50,ch,49.6666666666667
3, 1 (Private),0,1, 2PM - 11PM, 11AM, Apartment, Entire home/apt, $30 / night after 2 guests,,, Strict, within an hour,13348593,119,51,ch,39.6666666666667
2, 1,1,1, Anytime after 2PM, 11AM, House, Private room, $29 / night after the first guest,,, Strict, within an hour,11641845,29,52,ch,14.5
2, 1,1,1, Anytime after 3PM, 11AM, Loft, Entire home/apt, No Charge, 10%, 15%, Moderate, within an hour,7673608,109,53,ch,54.5
2, 1,1,1,,, Apartment, Private room, No Charge, 0%, 10%, Moderate, within an hour,8824905,50,54,ch,25
2, 1 (Shared),1,1, 3PM - 10PM, 11AM, Apartment, Private room,,,, Flexible, within an hour,13956123,86,55,ch,43
2, 1,1,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt, No Charge, 0%, 0%, Moderate, within a few hours,11973145,84,56,ch,42
3, 1 (Private),1,2,,, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,13690556,25,57,ch,8.33333333333333
1, 2,1,1, 3PM - 10PM, 12PM (noon), House, Private room,, 10%, 20%, Flexible, within an hour,13200818,120,58,ch,120
NA,,NA,NA,,,,,,,,,,5480913,138,59,ch,NA
1, 1,1,1, Anytime after 2PM, 12PM (noon), Apartment, Shared room,, 0%, 0%, Flexible, within an hour,11621251,50,60,ch,50
2, 1,0,1, Anytime after 3PM,, Condominium, Entire home/apt, No Charge,,, Moderate, within an hour,13432253,67,61,ch,33.5
2, 1,1,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt, No Charge, 5%, 12%, Moderate, within an hour,4547741,47,62,ch,23.5
5, 1,2,2, Anytime after 2PM, 11AM, Apartment, Entire home/apt, $15 / night after 2 guests, 21%, 49%, Flexible, within an hour,8440219,63,63,ch,12.6
3, 1 (Private),1,1, Anytime after 3PM, 12PM (noon), Entire Floor, Private room, $15 / night after 2 guests, 10%, 15%, Strict, within an hour,7935934,65,64,ch,21.6666666666667
NA,,NA,NA,,,,,,,,,,12569936,100,65,ch,NA
3, 1,0,2,,, Apartment, Entire home/apt, $8 / night after the first guest,,, Flexible, within an hour,10710405,65,66,ch,21.6666666666667
2, 1 (Shared),1,1,,, House, Private room, No Charge,,, Flexible, within an hour,13488374,92,67,ch,46
1, 1,1,1, 1PM - 12AM (midnight), 12PM (noon), Apartment, Private room,, 0%, 0%, Moderate, within an hour,13671981,105,68,ch,105
2, 1,1,1, 4PM - 6PM, 6PM, Apartment, Entire home/apt, No Charge,,, Moderate, within an hour,13496719,80,69,ch,40
2, 1,1,1, Flexible, 12PM (noon), Apartment, Private room,,,, Moderate, within an hour,14119645,64,70,ch,32
1, 1 (Shared),1,1, Flexible, 6PM, Apartment, Private room,,,, Flexible, within a day,13748328,110,71,ch,110
NA,,NA,NA,,,,,,,,,,13398494,70,72,ch,NA
4, 1,0,1, 3PM - 12AM (midnight), 10AM, Apartment, Entire home/apt, $15 / night after 2 guests, 0%, 0%, Strict, within an hour,12736638,195,73,ch,48.75
3, 1,0,1,,, Apartment, Entire home/apt, $35 / night after the first guest, 10%, 10%, Strict, within an hour,13683298,149,74,ch,49.6666666666667
2, 2,1,1, 5PM - 2AM (next day), 11AM, Apartment, Private room, $10 / night after the first guest, 10%, 30%, Moderate, within a few hours,13062802,98,75,ch,49
2, 1,0,1, 11AM - 12PM (noon), 9AM, Apartment, Entire home/apt, No Charge, 15%, 40%, Strict, within an hour,12210530,50,76,ch,25
2, 2,1,2, Anytime after 3PM, 11AM, Apartment, Shared room, $20 / night after the first guest,,, Strict, within a few hours,8669875,85,77,ch,42.5
10, 2,5,6, Anytime after 4PM, 11AM, Apartment, Entire home/apt, No Charge, 5%, 25%, Strict, within a few hours,13430244,249,78,ch,24.9
2, 1,1,1, Anytime after 4PM, 11AM, Apartment, Private room, No Charge, 10%, 15%, Moderate, within an hour,11670248,29,79,ch,14.5
1, 1,1,1,,, House, Private room,, 10%, 15%, Flexible, within an hour,12822377,29,80,ch,29
3, 1 (Private),1,1,,, Apartment, Entire home/apt, $20 / night after 2 guests,,, Strict, within an hour,13816365,69,81,ch,23
4, 1 (Private),1,3, Anytime after 4PM, 12PM (noon), Apartment, Entire home/apt, $10 / night after 2 guests, 8%, 0%, Moderate, within an hour,13862293,89,82,ch,22.25
4, 2,2,2, Anytime after 4PM, 11AM, Apartment, Entire home/apt, No Charge, 5%, 10%, Moderate, within a few hours,13522364,209,83,ch,52.25
4, 2,2,2, Anytime after 4PM, 11AM, Apartment, Entire home/apt, $10 / night after 2 guests,,, Strict, within a few hours,13018322,179,84,ch,44.75
8, 1,3,4, Anytime after 4PM, 11AM, Apartment, Entire home/apt, $10 / night after 3 guests, 5%, 10%, Moderate, within a few hours,11879348,369,85,ch,46.125
8, 1,3,4, Anytime after 4PM, 11AM, Apartment, Entire home/apt, $10 / night after 3 guests, 5%, 10%, Moderate, within a few hours,7648365,159,86,ch,19.875
4, 2,2,2, Anytime after 4PM, 11AM, Apartment, Entire home/apt, No Charge, 5%, 10%, Strict, within a few hours,13575637,189,87,ch,47.25
4, 1,2,3, Anytime after 4PM, 11AM, Apartment, Entire home/apt, $10 / night after 2 guests, 5%, 10%, Strict, within a few hours,13574479,159,88,ch,39.75
6, 1,3,3, Anytime after 4PM, 11AM, Apartment, Entire home/apt, $10 / night after 3 guests, 5%, 10%, Strict, within a few hours,7986207,169,89,ch,28.1666666666667
2, 1,1,1, Anytime after 4PM, 11AM, Apartment, Entire home/apt, $10 / night after the first guest, 5%, 10%, Moderate, within a few hours,13221121,109,90,ch,54.5
8, 1 (Private),2,4, Anytime after 3PM, 11AM, Apartment, Entire home/apt, $10 / night after 2 guests,,, Strict, within an hour,14141385,90,91,ch,11.25
5, 1,2,2, Anytime after 2PM, 11AM, Apartment, Entire home/apt, $15 / night after 2 guests, 21%, 49%, Flexible, within an hour,8440219,125,92,ch,25
2, 1,0,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt, No Charge, 0%, 0%, Moderate, within an hour,5862648,99,93,ch,49.5
3, 1,1,1, Anytime after 2PM, 12PM (noon), Apartment, Entire home/apt, $10 / night after the first guest, 6%, 0%, Strict, within an hour,8406911,52,94,ch,17.3333333333333
2, 1.5,1,1, Flexible, 10AM, House, Private room, No Charge,,, Flexible, within an hour,13376996,55,95,ch,27.5
2, 1 (Private),1,1, Anytime after 3PM,, Apartment, Entire home/apt, No Charge, 10%, 15%, Flexible, within an hour,13731634,63,96,ch,31.5
2, 1 (Private),1,1,,, Apartment, Private room,,,, Flexible, within an hour,10992395,30,97,ch,15
2, 1,1,1, Anytime after 10AM,, Apartment, Private room, $20 / night after the first guest,,, Flexible, within an hour,12323552,80,98,ch,40
