Accommodates,Bathrooms,Bedrooms,Beds,Check.In,Check.Out,Property.type,Room.type,Extra.people,Weekly.discount,Monthly.discount,Cancellation,Response.time,ID,price,e,city,price_per_indv
2, 1 (Private),1,1, Anytime after 3PM, 11AM, House, Entire home/apt, No Charge, 10%, 0%, Moderate, within a few hours,14089194,125,1,la,62.5
3, 1,1,1, Anytime after 12PM (noon), 10AM, Apartment, Entire home/apt, No Charge, 0%, 0%, Moderate, within an hour,7983761,109,2,la,36.3333333333333
2, 1 (Private),1,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt, No Charge,,, Moderate, within a few hours,13993820,89,3,la,44.5
2, 2.5 (Shared),1,2, Flexible,, House, Shared room, No Charge,,, Strict, within an hour,12358454,50,4,la,25
6, 2 (Private),2,3, 3PM - 7PM, 11AM, Villa, Entire home/apt, $100 / night after 4 guests, 5%, 15%, Moderate, within an hour,13787217,73,5,la,12.1666666666667
2, 1 (Private),1,1,,, Apartment, Entire home/apt, No Charge,,, Flexible, within a few hours,11513731,150,6,la,75
3, 1,0,2, Anytime after 3PM, 11AM, Apartment, Entire home/apt, $15 / night after 2 guests,,, Strict, within an hour,11063804,83,7,la,27.6666666666667
2, 2,1,1,,, Apartment, Private room, No Charge, 21%, 50%, Flexible, within an hour,14002002,50,8,la,25
2, 1,1,1, Anytime after 12PM (noon), 12PM (noon), Apartment, Private room, No Charge, 20%, 40%, Moderate,,14074952,150,9,la,75
2, 1.5 (Private),1,1, Flexible, 2PM, Apartment, Entire home/apt, No Charge,,, Strict, within a few hours,13491386,70,10,la,35
2, 1 (Private),1,1, 11AM - 11PM, 12PM (noon), Apartment, Private room,, 5%, 25%, Strict, within a few hours,5627530,82,11,la,41
2, 1,1,1, Anytime after 6PM, 12PM (noon), Apartment, Entire home/apt,, 25%, 0%, Flexible, within a few hours,13939796,149,12,la,74.5
8, 2.5,4,5, Anytime after 3PM, 11AM, House, Entire home/apt,, 0%, 0%, Strict, within an hour,12828541,119,13,la,14.875
5, 2,3,3, 3PM - 12AM (midnight), 11AM, Apartment, Entire home/apt, $25 / night after 4 guests, 5%, 10%, Strict, within a few hours,6808628,33,14,la,6.6
2, 1,1,1, Anytime after 3PM, 12PM (noon), Bungalow, Private room, No Charge,,, Strict, within an hour,13868080,100,15,la,50
1, 1 (Private),0,1, Flexible, 1PM, Apartment, Entire home/apt,, 0%, 0%, Moderate, within a day,2289824,89,16,la,89
3, 1 (Shared),1,3, Anytime after 3PM, 11AM, Townhouse, Private room, $7 / night after 2 guests, 5%, 10%, Strict, within an hour,10414783,250,17,la,83.3333333333333
4, 1 (Private),1,2, Flexible, 11AM, Apartment, Entire home/apt, No Charge,,, Strict, within a few hours,13431568,375,18,la,93.75
1, 1,1,1, Anytime after 11AM, 11AM, Condominium, Private room,, 0%,, Strict, within a few hours,10293739,53,19,la,53
2, 1 (Shared),1,1, Anytime after 3PM, 11AM, Condominium, Private room, No Charge, 15%, 20%, Moderate, within an hour,1637103,100,20,la,50
1, 0,1,1,,, Apartment, Private room,,,, Moderate, within an hour,12406971,36,21,la,36
1, 1 (Shared),1,1, 3PM - 5PM, 1PM, Apartment, Private room,, 21%, 49%, Moderate, within a few hours,13804000,70,22,la,70
2, 1,1,1, Anytime after 4PM, 3PM, Apartment, Private room,, 10%, 20%, Flexible, within an hour,11047622,60,23,la,30
3, 1 (Shared),1,1, 1PM - 11PM, 11AM, Condominium, Shared room, $30 / night after 2 guests,,, Strict, within an hour,13614704,68,24,la,22.6666666666667
3, 1.5 (Private),1,1,,, Apartment, Entire home/apt, No Charge,,, Flexible, within a day,13996889,86,25,la,28.6666666666667
2, 2 (Shared),1,3, Anytime after 3PM, 11AM, Apartment, Private room, $5 / night after the first guest, 5%, 0%, Strict, within an hour,13032627,79,26,la,39.5
2, 1,1,1, Anytime after 6PM, 3PM, House, Private room,, 10%, 15%, Flexible, within a few hours,3083951,89,27,la,44.5
2, 1,0,1, Anytime after 3PM, 10AM, Apartment, Entire home/apt, No Charge, 9%, 15%, Strict, within an hour,6886079,50,28,la,25
2, 1,1,1,,, Apartment, Shared room, No Charge, 8%, 12%, Flexible, within an hour,12092399,45,29,la,22.5
2, 1,1,1,,, House, Private room, No Charge, 0%, 0%, Strict, within an hour,8618551,135,30,la,67.5
2, 1,1,1, 5PM - 9PM, 12PM (noon), House, Private room, No Charge, 15%, 20%, Flexible, within an hour,13370937,62,31,la,31
2, 1 (Private),1,1, Flexible,, Apartment, Private room, $15 / night after the first guest,,, Flexible, within an hour,13780209,48,32,la,24
2, 1 (Private),0,1,,, Apartment, Entire home/apt, No Charge,,, Moderate, within an hour,13514696,63,33,la,31.5
2, 1 (Shared),1,1,,, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,13128405,160,34,la,80
2, 1.5 (Private),1,1, Flexible, 12PM (noon), House, Private room, No Charge,,, Flexible, within an hour,11734795,60,35,la,30
3, 1 (Private),0,1, Anytime after 3PM, 12PM (noon), Bungalow, Entire home/apt, No Charge, 21%, 40%, Strict, within an hour,14107909,60,36,la,20
2, 1,1,1, Anytime after 6PM, 3PM, House, Private room,, 10%, 15%, Flexible, within a few hours,3083951,85,37,la,42.5
2, 1,1,1, 5PM - 9PM, 12PM (noon), House, Private room, No Charge, 15%, 20%, Flexible, within an hour,13370937,99,38,la,49.5
2, 1,1,1, Anytime after 3PM, 12PM (noon), Apartment, Private room, No Charge, 10%, 40%, Moderate, within a few hours,8988848,115,39,la,57.5
2, 1 (Shared),1,1,,, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,13128405,45,40,la,22.5
3, 1,1,2, Anytime after 4PM, 11AM, House, Entire home/apt, $25 / night after 2 guests, 0%, 0%, Strict, within an hour,649942,125,41,la,41.6666666666667
2, 1 (Private),0,1, Anytime after 4PM, 11AM, Apartment, Entire home/apt,, 10%, 10%, Strict, within an hour,10436466,79,42,la,39.5
2, 1,1,1, Anytime after 4PM, 3PM, Apartment, Private room,, 10%, 20%, Flexible, within an hour,11047622,86,43,la,43
2, 1.5 (Private),1,1, Flexible, 2PM, Apartment, Entire home/apt, No Charge,,, Strict, within a few hours,13491386,45,44,la,22.5
5, 1,2,2, Flexible, 12PM (noon), Apartment, Entire home/apt, $15 / night after 2 guests, 5%, 10%, Strict, within an hour,9093116,62,45,la,12.4
2, 1,0,1, Anytime after 3PM, 12PM (noon), House, Entire home/apt,, 0%, 0%, Strict, within an hour,2763860,63,46,la,31.5
2, 1 (Private),1,1,,, Townhouse, Private room, No Charge,, 15%, Flexible, within an hour,13954588,75,47,la,37.5
2, 1,1,1,,, Apartment, Private room, $20 / night after the first guest, 0%, 0%, Moderate, within an hour,1663953,99,48,la,49.5
1, 1,1,1, 3PM - 11PM, 10AM, House, Shared room,, 0%,, Strict, within an hour,13590165,117,49,la,117
2, 1,1,1, Anytime after 3PM, 11AM, House, Private room, No Charge, 0%, 0%, Flexible, within an hour,8089329,68,50,la,34
1, 1,1,1, Anytime after 11AM, 11AM, Condominium, Private room,, 0%,, Strict, within a few hours,10293739,75,51,la,75
3, 1 (Private),0,1, Anytime after 3PM, 12PM (noon), Bungalow, Entire home/apt, No Charge, 21%, 40%, Strict, within an hour,14107909,125,52,la,41.6666666666667
2, 1,1,1, 3PM - 10PM, 11AM, House, Private room, No Charge, 0%, 0%, Flexible, within an hour,4205493,99,53,la,49.5
2, 1 (Private),1,2,,, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,13682291,111,54,la,55.5
2, 1 (Private),1,1, Anytime after 3PM, 12PM (noon), House, Private room, $8 / night after the first guest, 10%, 0%, Moderate, within an hour,3852843,89,55,la,44.5
4, 1,1,1,,, Apartment, Private room, $25 / night after 2 guests, 10%, 10%, Moderate, within an hour,10747461,49,56,la,12.25
2, 1,NA,1, Anytime after 4PM, 12PM (noon), Apartment, Entire home/apt,, 0%, 0%, Strict, within a few hours,47078,53,57,la,26.5
1, 1 (Shared),1,1, 3PM - 5PM, 1PM, Apartment, Private room,, 21%, 49%, Moderate, within a few hours,13804000,70,58,la,70
1, 1 (Private),1,1, 3PM - 12AM (midnight), 11AM, Apartment, Private room,, 5%, 0%, Strict, within an hour,9463643,89,59,la,89
2, 1,0,1, Anytime after 1PM, 1PM, Bungalow, Entire home/apt, No Charge, 15%, 15%, Moderate, within an hour,6636567,69,60,la,34.5
2, 2 (Private),3,3, 2PM - 10PM, 11AM, Apartment, Entire home/apt, No Charge,,, Strict, within a few hours,13938249,275,61,la,137.5
2, 1 (Private),0,1,,, Apartment, Entire home/apt, No Charge,,, Moderate, within an hour,13514696,30,62,la,15
2, 1,NA,1, Anytime after 3PM, 11AM, House, Entire home/apt, $5 / night after the first guest, 8%, 0%, Moderate, within an hour,106052,75,63,la,37.5
2, 2 (Private),1,1, Anytime after 3PM, 1PM, House, Private room, No Charge, 0%, 0%, Flexible,,14075504,79,64,la,39.5
2, 1,1,1, Anytime after 6PM, 12PM (noon), Apartment, Entire home/apt,, 25%, 0%, Flexible, within a few hours,13939796,95,65,la,47.5
2, 1,1,1, Anytime after 3PM, 12PM (noon), Bungalow, Private room, No Charge, 15%, 17%, Moderate, within an hour,10454154,36,66,la,18
2, 1 (Shared),1,1, Anytime after 2PM, 11AM, House, Private room, $10 / night after the first guest, 10%, 15%, Moderate, within a few hours,7124904,84,67,la,42
2, 1 (Shared),1,1, Anytime after 8AM, 2PM, Apartment, Private room, No Charge, 10%,, Flexible, within an hour,13427875,109,68,la,54.5
1, 1,1,1, 3PM - 12AM (midnight), 11AM, House, Private room,, 0%,, Strict, within an hour,11590920,69,69,la,69
6, 2 (Private),2,3, 3PM - 7PM, 11AM, Apartment, Entire home/apt, $10 / night after 4 guests, 0%, 20%, Strict, within an hour,13634395,75,70,la,12.5
2, 1 (Private),1,1, Anytime after 3PM, 11AM, House, Entire home/apt,, 7%, 10%, Moderate, within an hour,8213152,80,71,la,40
2, 1,1,1, Anytime after 1PM, 11AM, Apartment, Entire home/apt, No Charge, 0%, 0%, Strict, within an hour,12410679,95,72,la,47.5
2, 1 (Private),0,1,,, Apartment, Entire home/apt, No Charge, 15%, 30%, Flexible, within a few hours,12203030,80,73,la,40
2, 1,0,1, 12PM (noon) - 3PM, 11AM, Apartment, Entire home/apt, No Charge,,, Moderate, within an hour,9941334,135,74,la,67.5
