Accommodates,Bathrooms,Bedrooms,Beds,Check.In,Check.Out,Property.type,Room.type,Extra.people,Weekly.discount,Monthly.discount,Cancellation,Response.time,ID,price,e,city,price_per_indv
 3, 1 (Private),1,2, 2PM - 2AM (next day), 12PM (noon), House, Private room, $10 / night after 2 guests, 5%, 15%, Moderate, within an hour,13752815,99,1,ny,19.8
 4, 1 (Shared),1,2, 3PM - 10PM, 11AM, Apartment, Private room,, 0%, 0%, Moderate, within an hour,14013102,399,2,ny,66.5
 1, 1 (Private),1,1, 12PM (noon) - 10PM, 12PM (noon), Apartment, Private room,, 0%, 0%, Strict, within a few hours,13967721,199,3,ny,199
 2, 1,1,1, Anytime after 2PM, 4PM, Apartment, Entire home/apt,, 0%, 30%, Strict, within an hour,5789606,179,4,ny,44.75
 2, 1,1,1, Anytime after 1PM, 11AM, Apartment, Entire home/apt, $10 / night after the first guest, 0%, 20%, Moderate, within an hour,13398514,159,5,ny,39.75
 2, 1 (Shared),1,1, Flexible, 11AM, Apartment, Private room,, 11%, 22%, Flexible, within an hour,13559047,450,6,ny,112.5
 2, 1 (Shared),1,1, 5PM - 2AM (next day), 12PM (noon), Apartment, Private room, $10 / night after the first guest, 0%, 0%, Strict, within an hour,7181242,89,7,ny,22.25
 4, 1,1,2, Anytime after 12PM (noon), 11AM, Apartment, Private room, $15 / night after 2 guests, 0%, 0%, Moderate, within an hour,13461855,50,8,ny,8.33333333333333
 4, 1,0,2, Anytime after 4PM, 11AM, Loft, Entire home/apt, $25 / night after 2 guests, 0%, 0%, Strict, within an hour,1229289,89,9,ny,14.8333333333333
 4, 1,0,2, 2PM - 11PM, 11AM, Apartment, Entire home/apt, No Charge, 0%,, Strict, within an hour,13122275,90,10,ny,15
 3, 1,1,2, Anytime after 4PM, 12PM (noon), Apartment, Entire home/apt, $25 / night after 2 guests, 0%, 10%, Strict, within an hour,12187394,69,11,ny,13.8
 4, 1,0,2, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt, No Charge,,, Strict, within a day,13191819,49,12,ny,8.16666666666667
 2, 1,1,1, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt, No Charge, 0%, 0%, Strict, within an hour,4917519,85,13,ny,21.25
 2, 1,1,1,,, Apartment, Private room,, 15%, 0%, Strict, a few days or more,8702075,250,14,ny,62.5
 6, 1,1,3, Anytime after 3PM, 11AM, Apartment, Entire home/apt, $25 / night after 4 guests, 0%, 0%, Strict, within an hour,779001,151,15,ny,21.5714285714286
 4, 1,1,2,,, Apartment, Entire home/apt, No Charge,,, Strict, within an hour,10635871,95,16,ny,15.8333333333333
 3, 1,1,1,,, Apartment, Private room, $50 / night after 2 guests,,, Strict, within a few hours,7322,99,17,ny,19.8
 6, 1 (Shared),1,4,,, Apartment, Entire home/apt, No Charge, 0%, 0%, Strict, within an hour,13604532,40,18,ny,5.71428571428571
 4, 1,1,1,,, Apartment, Entire home/apt, $20 / night after 2 guests, 15%, 31%, Moderate, within an hour,3469171,142,19,ny,23.6666666666667
 2, 1,1,1,,, Apartment, Entire home/apt, No Charge,,, Flexible, within a few hours,10133534,110,20,ny,27.5
 6, 1 (Shared),1,2, Anytime after 3PM, 11AM, Apartment, Entire home/apt, $20 / night after the first guest, 5%, 10%, Strict, within an hour,9064283,115,21,ny,16.4285714285714
 10, 1,3,4, 3PM - 12AM (midnight), 11AM, Apartment, Entire home/apt, No Charge, 0%, 0%, Strict, within an hour,7345868,190,22,ny,95
 3, 1,1,1, 4PM - 7PM, 1PM, Apartment, Entire home/apt, $75 / night after 2 guests, 0%, 0%, Strict, within a day,11501200,90,23,ny,18
 2, 1,1,1,,, Apartment, Entire home/apt, No Charge,,, Flexible, within a day,13617867,195,24,ny,48.75
 4, 1,1,2,,, Apartment, Entire home/apt, $18 / night after the first guest, 0%, 0%, Strict, a few days or more,7801262,149,25,ny,24.8333333333333
 1, 1,1,1, 9PM - 12AM (midnight), 9AM, Apartment, Shared room,, 0%, 0%, Strict, within an hour,9365581,30,26,ny,30
 3, 1 (Private),1,1,,, Apartment, Entire home/apt, No Charge,, 40%, Flexible, within a few hours,917037,175,27,ny,35
 4, 1 (Private),1,2, 1PM - 12AM (midnight), 12PM (noon), Apartment, Private room, $28 / night after 3 guests,,, Moderate, within a day,13718150,98,28,ny,16.3333333333333
 2, 1,0,1, Anytime after 1PM, 11AM, Apartment, Entire home/apt, No Charge, 0%, 0%, Strict, within a few hours,8761111,70,29,ny,17.5
 2, 1,1,1, 1PM - 5PM, 12PM (noon), Apartment, Private room, $10 / night after the first guest, 0%, 0%, Strict, within an hour,240329,40,30,ny,10
 2, 1,0,1, Anytime after 2PM, 11AM, Apartment, Entire home/apt, No Charge, 15%, 30%, Strict, within an hour,593292,165,31,ny,41.25
 3, 1,0,1, 2PM - 8PM, 12PM (noon), Apartment, Entire home/apt,, 0%, 0%, Moderate, within an hour,12851067,145,32,ny,29
 2, 3,1,1, 3PM - 2AM (next day), 11AM, Townhouse, Private room, $10 / night after the first guest, 0%,, Strict, within an hour,13167264,58,33,ny,14.5
 2, 1 (Private),1,1,,, Apartment, Private room, $50 / night after the first guest, 16%,, Flexible, within an hour,9544597,80,34,ny,20
 4, 1.5 (Private),3,3,,, Apartment, Entire home/apt, No Charge,,, Flexible, within a few hours,6843145,200,35,ny,33.3333333333333
 2, 1 (Shared),1,1, 5PM - 2AM (next day), 12PM (noon), Apartment, Private room, $10 / night after the first guest, 0%, 0%, Strict, within an hour,7181242,50,36,ny,12.5
 2, 1,0,1, 7PM - 10PM, 2PM, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,14094480,150,37,ny,37.5
 2, 1 (Private),1,1,,, Apartment, Entire home/apt, No Charge, 10%,, Flexible, within a few hours,9092446,110,38,ny,27.5
 4, 1,1,2, Flexible, 12PM (noon), Apartment, Entire home/apt, No Charge, 0%, 0%, Moderate, within an hour,13357996,90,39,ny,15
 1, 1,1,1,,, Apartment, Shared room,,,, Flexible, within an hour,13671575,28,40,ny,28
 4, 1,1,1,,, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,13203314,150,41,ny,25
 2, 1 (Private),1,1,,, Apartment, Entire home/apt, No Charge, 0%,, Flexible, within a few hours,13604994,50,42,ny,12.5
 2, 1,1,1,,, Apartment, Private room, $5 / night after the first guest, 0%, 0%, Flexible, within an hour,13894166,58,43,ny,14.5
 2, 1,1,1,,, Apartment, Entire home/apt, No Charge, 0%, 0%, Flexible, within an hour,6478214,175,44,ny,43.75
 2, 1 (Shared),1,1, Anytime after 1PM, 11AM, Apartment, Private room, No Charge,,, Strict, within an hour,14051965,65,45,ny,16.25
 2, 1,0,1, Anytime after 11AM, 3PM, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,13258556,120,46,ny,30
 2, 1,1,1,,, Apartment, Private room, No Charge,,, Flexible, within a few hours,13769969,60,47,ny,15
 2, 1 (Private),0,1,,, Apartment, Entire home/apt, No Charge, 0%, 0%, Flexible, within an hour,13236483,154,48,ny,38.5
 2, 1 (Private),0,1, Flexible,, Apartment, Entire home/apt, No Charge,,, Moderate, within an hour,13248038,72,49,ny,18
 2, 1,0,1, Flexible,, Apartment, Entire home/apt, No Charge, 10%, 0%, Strict, within an hour,7178827,185,50,ny,46.25
 2, 2 (Shared),1,1, Anytime after 2PM, 12PM (noon), Apartment, Private room, $10 / night after the first guest, 0%, 0%, Moderate, within an hour,6480509,57,51,ny,14.25
 1, 1,1,1, 3PM - 10PM, 1PM, Apartment, Private room,,,, Flexible, within an hour,13044668,70,52,ny,70
 2, 1 (Shared),1,1,,, Apartment, Private room, No Charge,,, Flexible, within an hour,13744371,49,53,ny,12.25
 1, 1 (Shared),1,1,,, Apartment, Private room,,,, Moderate, within an hour,13912003,55,54,ny,55
 2, 1,1,1, Flexible, 12PM (noon), Apartment, Private room, $20 / night after the first guest, 0%, 0%, Strict, within an hour,7729132,175,55,ny,43.75
 1, 1 (Shared),1,4, 8AM - 12AM (midnight),, Apartment, Shared room,,,, Flexible, within an hour,13857142,14,56,ny,14
 2, 1,1,2,,, Apartment, Private room, $8 / night after the first guest,,, Flexible, within a few hours,13397167,60,57,ny,15
