Accommodates,Bathrooms,Bedrooms,Beds,Check.In,Check.Out,Property.type,Room.type,Extra.people,Weekly.discount,Monthly.discount,Cancellation,Response.time,ID,price,e,city,price_per_indv
12, 2,2,6, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt, $15 / night after 10 guests, 10%, 12%, Strict, within an hour,2459643,250,1,sf,20.8333333333333
3, 1,1,2, Anytime after 3PM, 11AM, Apartment, Private room, $10 / night after the first guest, 0%, 0%, Moderate, within an hour,748222,100,2,sf,33.3333333333333
3, 1 (Shared),1,1, Flexible, 11AM, House, Private room, $18 / night after the first guest, 5%, 15%, Moderate, within an hour,13642014,220,3,sf,73.3333333333333
3, 1,1,1, 3PM - 12AM (midnight), 11AM, Apartment, Entire home/apt, No Charge,,, Strict, within an hour,12204037,80,4,sf,26.6666666666667
4, 1 (Shared),1,4,,, Tent, Private room, $15 / night after the first guest, 0%, 0%, Moderate, within a day,4286391,160,5,sf,40
4, 1 (Private),1,2, Anytime after 2PM, 10AM, Apartment, Entire home/apt, $10 / night after 3 guests, 10%, 30%, Moderate, within a day,24723,50,6,sf,12.5
6, 1,3,5, Anytime after 2PM, 12PM (noon), House, Entire home/apt, $25 / night after 2 guests, 0%, 0%, Strict, within a day,408161,85,7,sf,14.1666666666667
2, 1 (Private),1,1, Anytime after 3PM, 10AM, House, Private room, No Charge, 0%, 0%, Moderate, within an hour,2178509,64,8,sf,32
2, 0,1,1,,, House, Private room, No Charge,,, Flexible, within an hour,12026856,80,9,sf,40
5, 1,1,1, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt, $15 / night after 2 guests, 5%, 10%, Strict, within a few hours,11398231,109,10,sf,21.8
2, 1,1,1, Anytime after 3PM, 12PM (noon), House, Private room, No Charge, 0%, 12%, Strict, within an hour,12569845,190,11,sf,95
1, 1,1,1, Anytime after 6PM, 9AM, House, Private room,, 0%, 0%, Strict, within an hour,2126868,55,12,sf,55
2, 1,0,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt, No Charge, 0%, 0%, Strict, within a few hours,8288576,170,13,sf,85
4, 1,1,3, Anytime after 3PM, 10AM, House, Entire home/apt, $30 / night after 2 guests, 0%, 0%, Strict, within an hour,4614763,60,14,sf,15
2, 1,1,1,,, Apartment, Private room, $10 / night after the first guest,,, Moderate, within an hour,11992133,99,15,sf,49.5
2, 0,1,1, Anytime after 3PM, 11AM, Apartment, Private room, No Charge, 5%,, Moderate, within an hour,8685943,119,16,sf,59.5
2, 1 (Private),0,1, Anytime after 2PM, 12PM (noon), Apartment, Entire home/apt, No Charge, 19%, 34%, Strict, within an hour,3759246,89,17,sf,44.5
1, 1 (Private),1,1, Anytime after 2PM, 11AM, Apartment, Private room,,,, Moderate, within an hour,12405624,185,18,sf,185
2, 1 (Private),0,1, 4PM - 10PM, 12PM (noon), Apartment, Entire home/apt,,,, Strict, within an hour,13899631,199,19,sf,99.5
2, 1,1,1, Anytime after 4PM, 1PM, Apartment, Entire home/apt, No Charge, 0%, 0%, Strict, within an hour,1280597,36,20,sf,18
2, 1 (Private),1,1, Flexible, 2PM, House, Private room, No Charge,,, Flexible, within an hour,13606695,60,21,sf,30
2, 1 (Private),1,1, 5PM - 8PM, 2PM, House, Private room, No Charge,,, Flexible, within an hour,13685131,115,22,sf,57.5
2, 1,1,2,,, Apartment, Entire home/apt, No Charge,,, Flexible, within a few hours,10546734,99,23,sf,49.5
3, 1,0,1, 3PM - 5PM, 12PM (noon), House, Entire home/apt, No Charge,,, Strict, within an hour,13774014,80,24,sf,26.6666666666667
2, 1,1,1, Anytime after 3PM, 11AM, House, Private room, $19 / night after the first guest, 10%, 28%, Moderate, within a few hours,11075529,170,25,sf,85
2, 1,1,1,,, Apartment, Private room, $10 / night after the first guest,,, Moderate, within an hour,11992133,268,26,sf,134
2, 1,1,1,,, Apartment, Private room, $20 / night after the first guest, 15%, 34%, Moderate, within an hour,7939384,100,27,sf,50
2, 1,0,1, 2PM - 2AM (next day), 11AM, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,10783991,67,28,sf,33.5
4, 1,1,2, 3PM - 9PM, 11AM, House, Private room, No Charge, 0%, 0%, Moderate, within a few hours,14031165,125,29,sf,31.25
1, 1,1,1, 10AM - 10PM, 3PM, House, Private room,, 13%,, Moderate, within a few hours,12175060,89,30,sf,89
2, 1,1,1, 5PM - 7PM, 3PM, Apartment, Private room, No Charge,,, Flexible, within a few hours,13207788,185,31,sf,92.5
2, 1,1,1, Anytime after 12PM (noon), 12PM (noon), House, Private room, No Charge,,, Flexible, within a few hours,13893993,55,32,sf,27.5
1, 1,1,1, Anytime after 6PM, 9AM, House, Private room,, 0%, 0%, Strict, within an hour,2126868,161,33,sf,161
2, 1,1,1, Anytime after 1PM, 11AM, Apartment, Entire home/apt,,,, Moderate, within a few hours,11147228,95,34,sf,47.5
2, 1 (Private),1,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt,, 10%, 20%, Flexible, within an hour,13845578,80,35,sf,40
2, 1,0,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt, No Charge, 0%, 0%, Strict, within a few hours,8288576,80,36,sf,40
2, 1 (Private),1,1,,, House, Private room, No Charge, 0%, 0%, Flexible, within an hour,13467291,60,37,sf,30
2, 1,1,1, Anytime after 3PM, 11AM, House, Private room, No Charge, 0%, 0%, Moderate, within an hour,8411606,125,38,sf,62.5
2, 1,1,1,,, Apartment, Private room, No Charge,,, Flexible, within an hour,11593303,163,39,sf,81.5
2, 1,1,1,, 12PM (noon), Apartment, Entire home/apt, No Charge,,, Moderate, within an hour,10412144,59,40,sf,29.5
2, 1 (Shared),1,1, 1PM - 3PM, 11AM, Apartment, Private room,, 0%, 0%, Flexible, within an hour,10529716,75,41,sf,37.5
2, 1,1,1, Anytime after 3PM,, Apartment, Private room, No Charge,,, Flexible, within an hour,14029591,120,42,sf,60
2, 1 (Shared),1,1,,, House, Private room, No Charge, 0%, 0%, Flexible, within a day,13577482,174,43,sf,87
1, 1 (Shared),1,1, Anytime after 3PM, 10AM, House, Private room,,,, Moderate, within an hour,13980263,79,44,sf,79
2, 1,1,1, Anytime after 2PM, 10AM, House, Private room, $10 / night after the first guest,,, Strict, within an hour,9926871,160,45,sf,80
