Name,Price,Rating
Gramercy Park,‎$329,85
The Peninsula New York,‎$795,91
The Surrey,‎$400,90
Row NYC,‎$116,75
Innside New York NoMad,‎$179,86
The London NYC,‎$299,88
The Roxy Hotel,‎$229,86
The Towers of the Waldorf Astoria New York,‎$450,85
Lotte New York Palace,‎$299,90
Hotel Pennsylvania,‎$125,56
DoubleTree by Hilton New York City - Financial District,‎$127,77
Wyndham New Yorker,‎$126,78
Inn New York City,‎$119,87
Four Seasons Hotel New York,‎$745,89
Hotel Hugo,‎$215,82
The Lexington,‎$159,80
Gansevoort Park Avenue NYC,‎$245,87
Manhattan NYC-an Affinia hotel,‎$135,79
Radio City Apartments,‎$195,82
Aloft Manhattan,‎$129,81
Hi Express Times Square,‎$154,79
The Hotel Wolcott,‎$190,76
Shoreham,‎$161,74
The Quin,‎$305,89
The Lucerne,‎$195,87
The Roosevelt,‎$144,74
Comfort Inn Times Square South  Area,‎$167,76
Best Western Premier Herald Square,‎$155,85
Paramount,‎$127,71
Hampton Inn New York - 35th Street - Empire State Building,‎$135,83
Fairfield Inn & Suites New York Manhattan-Chelsea,‎$158,84
Refinery Hotel,‎$229,90
Aloft Manhattan,‎$134,81
Hilton Garden Inn Times Square Central,‎$135,84
Hilton Garden Inn New York/Midtown Park Avenue,‎$127,85
Hyatt Times Square New York,‎$199,91
Michelangelo Hotel,‎$249,91
Hampton Inn Manhattan-Times Square South,‎$161,84
The Pearl Hotel,‎$280,90
Staybridge Suites Times Square - New York City,‎$189,87
Cassa Hotel 45th Street New York,‎$180,86
Chambers,‎$203,88
Sheraton New York Times Square Hotel,‎$189,81
Hilton Garden Inn New York-Chelsea,‎$165,82
Ameritania at Times Square,‎$169,80
Hilton Garden Inn - West 35th Street,‎$135,87
The Lexington,‎$159,80
Hilton New York Fashion District,‎$143,83
The Quin,‎$309,89
Hampton Inn Manhattan - Madison Square Garden Area,‎$152,84
Cassa Hotel 45th Street New York,‎$194,74
The Manhattan at Times Square,‎$134,76
Hilton Garden Inn - West 35th Street,‎$135,85
Ace New York City,‎$189,71
Millennium Broadway,‎$127,83
Hampton Inn Manhattan - Times Square North,‎$149,84
The Quin,‎$305,90
W New York,‎$200,81
The Standard High Line,‎$255,84
Holiday Inn Express NYC Madison Square Garden,‎$162,85
Le Belleclaire,‎$156,91
Grand Hyatt,‎$199,91
Morgans Hotel,‎$172,84
The Westin New York at Times Square,‎$214,90
Chambers,‎$203,87
The Premier Hotel Times Square,‎$225,86
NH New York Jolly Madison Towers,‎$110,88
Dumont NYC-an Affinia hotel,‎$197,81
Royalton,‎$187,82
New York Marriott Marquis,‎$278,80
DoubleTree by Hilton New York City - Financial District,‎$143,87
One UN New York,‎$195,80
Element New York Times Square West,‎$159,83
Hyatt Times Square New York,‎$199,89
The Pearl Hotel,‎$249,84
Sheraton New York Times Square Hotel,‎$179,81
Wingate by Wyndham Manhattan Midtown,‎$122,79
The Premier Hotel Times Square,‎$234,86
Club Quarters Hotel - World Trade Central,‎$116,86
Riu Plaza New York Times Square,‎$169,80
The Renwick,‎$165,79
70 Park,‎$136,85
Holiday Inn Manhattan 6th Ave - Chelsea,‎$108,77
Hampton Inn Manhattan-Chelsea,‎$98,86
Cassa Times Square,‎$146,83
Four Points By Sheraton New York Downtown,‎$89,83
The Westin New York at Times Square,‎$193,84
The Marlton,‎$195,88
Days Hotel on Broadway,‎$79,64
Travel Inn Hotel,‎$89,75
Soho Grand Hotel,‎$215,83
Dream New York,‎$165,79
Viceroy Central Park New York,‎$240,84
Bentley Hotel,‎$135,76
Warwick New York,‎$170,86
373 Fifth Avenue,‎$125,80
New York Marriott East Side,‎$179,81
The James New York,‎$269,87
The MAve NYC,‎$115,75
Sixty Lower East Side,‎$223,84
