Name,Price,Rating
Argonaut ,‎$439,89
Da Vinci Villa,‎$274,73
Serrano,‎$283,81
The Andrews,‎$304,76
Hilton San Francisco Union Square,‎$351,77
Griffon,‎$349,82
Carlton Joie De Vivre,‎$280,79
Parc 55 San Francisco - Hilton ,‎$329,83
Omni San Francisco,‎$408,91
Hampton Inn San Francisco Downtown/Convention Center,‎$329,80
Zephyr,‎$349,84
Clift,‎$382,81
Hyatt Regency San Francisco,‎$449,84
San Francisco Marriott Marquis,‎$494,85
The Opal  San Francisco,‎$229,73
Club Quarters Hotel in San Francisco,‎$389,83
Fairmont Heritage Place Ghirardelli Square,"‎$1,889",90
Kimpton Sir Francis Drake,‎$409,79
Club Donatello,‎$679,86
Palace Hotel,‎$445,88
Le Méridien San Francisco,‎$505,87
Jackson Court,‎$239,86
Calista,‎$184,69
Marina Motel,‎$205,79
Bijou,‎$215,73
JW Marriott Union Square,‎$269,84
Hampton Inn San Francisco Downtown/Convention Center,‎$220,80
Abri,‎$215,85
The Fairmont San Francisco,‎$335,87
Holiday Inn San Francisco Fishermans Wharf,‎$207,76
The Opal  San Francisco,‎$174,73
The Stanford Court,‎$224,83
The St Regis San Francisco,‎$480,90
Park Central San Francisco,‎$190,84
Argonaut ,‎$319,89
Executive Vintage Court,‎$170,75
San Francisco Marriott Marquis,‎$254,85
Kimpton Sir Francis Drake,‎$229,79
Rex,‎$209,83
SW,‎$189,77
Orchard Garden,‎$224,90
King George,‎$179,76
W San Francisco,‎$274,82
InterContinental San Francisco,‎$238,89
Villa Florence,‎$197,80
Holiday Inn Express San Francisco Fishermans Wharf,‎$248,82
Cova,‎$215,76
Intercontinental Mark Hopkins,‎$206,84
Loews Regency San Francisco Hotel,‎$424,90
City Center& Inn Suites,‎$154,54
Astoria,‎$122,58
Le Méridien San Francisco,‎$170,87
Mark Twain,‎$179,75
Marriott San Francisco Fisherman's Wharf,‎$239,81
JW Marriott Union Square,‎$249,84
Cornell de France,‎$182,83
The Ritz-Carlton San Francisco,‎$343,87
City Center& Inn Suites,‎$165,54
Hotel G San Francisco,‎$212,82
W San Francisco,‎$307,82
Holiday Inn San Francisco Fishermans Wharf,‎$243,76
Loews Regency San Francisco Hotel,‎$399,90
Powell,‎$220,72
Courtyard San Francisco Downtown,‎$259,83
Courtyard San Francisco Union Square,‎$229,79
Mystic Hotel by Charlie Palmer ex Charlie Palmer,‎$195,80
Holiday Inn Express San Francisco Fishermans Wharf,‎$243,82
Best Western Plus Tuscan Inn,‎$209,84
San Francisco Marriott Union Square,‎$229,84
Civic Center Motor Inn,‎$154,64
The Marker San Francisco,‎$195,86
Hotel Drisco,‎$410,93
Inn at the Opera,‎$209,81
The Opal  San Francisco,‎$169,73
The Herbert,‎$650,76
Vitale,‎$325,89
The Andrews,‎$199,76
Cova,‎$205,76
Stratford on the Square,‎$149,75
Inn at Union Square,‎$188,90
La Luna Inn,‎$169,70
Courtyard San Francisco Fisherman's Wharf,‎$249,82
W San Francisco,‎$280,82
Cornell de France,‎$182,83
Del Sol a Joie de Vivre Boutique,‎$239,81
The St Regis San Francisco,‎$395,90
Washington Square Inn,‎$249,83
Diva,‎$199,79
Metropolis ,‎$180,66
Casa Madrona And Spa,‎$263,84
Courtyard San Francisco Union Square,‎$170,79
Edwardian,‎$135,71
Grant Plaza,‎$159,63
Grace - A Piece of Pineapple Hospitality,‎$191,76
San Francisco Marriott Union Square,‎$199,84
1906 Mission,‎$197,88
Redwood Inn,‎$170,74
The Payne Mansion,‎$196,83
Four Seasons San Francisco,‎$394,88
The Monarch,‎$127,63
