Room.Type,City,Bed(s),Property.Form,Price,Avg
Private room,Los Angeles,1,hotel,279,197.46
Private room,Los Angeles,1,hotel,645,197.46
Private room,Los Angeles,1,hotel,170,197.46
Private room,Los Angeles,1,hotel,209,197.46
Private room,Los Angeles,1,hotel,499,197.46
Private room,Los Angeles,1,hotel,228,197.46
Private room,Los Angeles,1,hotel,203,197.46
Private room,Los Angeles,1,hotel,278,197.46
Private room,Los Angeles,1,hotel,125,197.46
Private room,Los Angeles,1,hotel,349,197.46
Private room,Los Angeles,1,hotel,206,197.46
Private room,Los Angeles,1,hotel,219,197.46
Private room,Los Angeles,1,hotel,289,197.46
Private room,Los Angeles,1,hotel,97,197.46
Private room,Los Angeles,1,hotel,254,197.46
Private room,Los Angeles,1,hotel,299,197.46
Private room,Los Angeles,1,hotel,224,197.46
Private room,Los Angeles,1,hotel,232,197.46
Private room,Los Angeles,1,hotel,202,197.46
Private room,Los Angeles,1,hotel,188,197.46
Private room,Los Angeles,1,hotel,135,197.46
Private room,Los Angeles,1,hotel,309,197.46
Private room,Los Angeles,1,hotel,255,197.46
Private room,Los Angeles,1,hotel,124,197.46
Private room,Los Angeles,1,hotel,199,197.46
Private room,Los Angeles,1,hotel,329,197.46
Private room,Los Angeles,1,hotel,149,197.46
Private room,Los Angeles,1,hotel,178,197.46
Private room,Los Angeles,1,hotel,159,197.46
Private room,Los Angeles,1,hotel,275,197.46
Private room,Los Angeles,1,hotel,109,197.46
Private room,Los Angeles,1,hotel,159,197.46
Private room,Los Angeles,1,hotel,199,197.46
Private room,Los Angeles,1,hotel,149,197.46
Private room,Los Angeles,1,hotel,289,197.46
Private room,Los Angeles,1,hotel,163,197.46
Private room,Los Angeles,1,hotel,199,197.46
Private room,Los Angeles,1,hotel,259,197.46
Private room,Los Angeles,1,hotel,127,197.46
Private room,Los Angeles,1,hotel,216,197.46
Private room,Los Angeles,1,hotel,169,197.46
Private room,Los Angeles,1,hotel,383,197.46
Private room,Los Angeles,1,hotel,135,197.46
Private room,Los Angeles,1,hotel,233,197.46
Private room,Los Angeles,1,hotel,250,197.46
Private room,Los Angeles,1,hotel,130,197.46
Private room,Los Angeles,1,hotel,144,197.46
Private room,Los Angeles,1,hotel,215,197.46
Private room,Los Angeles,1,hotel,127,197.46
Private room,Los Angeles,1,hotel,139,197.46
Private room,Los Angeles,1,hotel,189,197.46
Private room,Los Angeles,1,hotel,203,197.46
Private room,Los Angeles,1,hotel,279,197.46
Private room,Los Angeles,1,hotel,389,197.46
Private room,Los Angeles,1,hotel,349,197.46
Private room,Los Angeles,1,hotel,199,197.46
Private room,Los Angeles,1,hotel,150,197.46
Private room,Los Angeles,1,hotel,209,197.46
Private room,Los Angeles,1,hotel,129,197.46
Private room,Los Angeles,1,hotel,95,197.46
Private room,Los Angeles,1,hotel,103,197.46
Private room,Los Angeles,1,hotel,159,197.46
Private room,Los Angeles,1,hotel,153,197.46
Private room,Los Angeles,1,hotel,170,197.46
Private room,Los Angeles,1,hotel,169,197.46
Private room,Los Angeles,1,hotel,179,197.46
Private room,Los Angeles,1,hotel,389,197.46
Private room,Los Angeles,1,hotel,249,197.46
Private room,Los Angeles,1,hotel,116,197.46
Private room,Los Angeles,1,hotel,160,197.46
Private room,Los Angeles,1,hotel,154,197.46
Private room,Los Angeles,1,hotel,112,197.46
Private room,Los Angeles,1,hotel,103,197.46
Private room,Los Angeles,1,hotel,269,197.46
Private room,Los Angeles,1,hotel,214,197.46
Private room,Los Angeles,1,hotel,129,197.46
Private room,Los Angeles,1,hotel,129,197.46
Private room,Los Angeles,1,hotel,263,197.46
Private room,Los Angeles,1,hotel,215,197.46
Private room,Los Angeles,1,hotel,162,197.46
Private room,Los Angeles,1,hotel,105,197.46
Private room,Los Angeles,1,hotel,119,197.46
Private room,Los Angeles,1,hotel,169,197.46
Private room,Los Angeles,1,hotel,278,197.46
Private room,Los Angeles,1,hotel,174,197.46
Private room,Los Angeles,1,hotel,92,197.46
Private room,Los Angeles,1,hotel,229,197.46
Private room,Los Angeles,1,hotel,180,197.46
Private room,Los Angeles,1,hotel,185,197.46
Private room,Los Angeles,1,hotel,148,197.46
Private room,Los Angeles,1,hotel,80,197.46
Private room,Los Angeles,1,hotel,200,197.46
Private room,Los Angeles,1,hotel,96,197.46
Private room,Los Angeles,1,hotel,170,197.46
Private room,Los Angeles,1,hotel,135,197.46
Private room,Los Angeles,1,hotel,90,197.46
Private room,Los Angeles,1,hotel,158,197.46
Private room,Los Angeles,1,hotel,80,197.46
Private room,Los Angeles,1,hotel,99,197.46
Private room,Los Angeles,1,hotel,70,197.46
Private room,Los Angeles,2,hotel,645,204.65
Private room,Los Angeles,2,hotel,170,204.65
Private room,Los Angeles,2,hotel,203,204.65
Private room,Los Angeles,2,hotel,279,204.65
Private room,Los Angeles,2,hotel,299,204.65
Private room,Los Angeles,2,hotel,219,204.65
Private room,Los Angeles,2,hotel,232,204.65
Private room,Los Angeles,2,hotel,499,204.65
Private room,Los Angeles,2,hotel,206,204.65
Private room,Los Angeles,2,hotel,259,204.65
Private room,Los Angeles,2,hotel,373,204.65
Private room,Los Angeles,2,hotel,159,204.65
Private room,Los Angeles,2,hotel,278,204.65
Private room,Los Angeles,2,hotel,255,204.65
Private room,Los Angeles,2,hotel,202,204.65
Private room,Los Angeles,2,hotel,179,204.65
Private room,Los Angeles,2,hotel,219,204.65
Private room,Los Angeles,2,hotel,255,204.65
Private room,Los Angeles,2,hotel,329,204.65
Private room,Los Angeles,2,hotel,383,204.65
Private room,Los Angeles,2,hotel,178,204.65
Private room,Los Angeles,2,hotel,275,204.65
Private room,Los Angeles,2,hotel,259,204.65
Private room,Los Angeles,2,hotel,169,204.65
Private room,Los Angeles,2,hotel,127,204.65
Private room,Los Angeles,2,hotel,262,204.65
Private room,Los Angeles,2,hotel,199,204.65
Private room,Los Angeles,2,hotel,239,204.65
Private room,Los Angeles,2,hotel,151,204.65
Private room,Los Angeles,2,hotel,389,204.65
Private room,Los Angeles,2,hotel,224,204.65
Private room,Los Angeles,2,hotel,127,204.65
Private room,Los Angeles,2,hotel,159,204.65
Private room,Los Angeles,2,hotel,161,204.65
Private room,Los Angeles,2,hotel,295,204.65
Private room,Los Angeles,2,hotel,198,204.65
Private room,Los Angeles,2,hotel,149,204.65
Private room,Los Angeles,2,hotel,179,204.65
Private room,Los Angeles,2,hotel,167,204.65
Private room,Los Angeles,2,hotel,332,204.65
Private room,Los Angeles,2,hotel,249,204.65
Private room,Los Angeles,2,hotel,80,204.65
Private room,Los Angeles,2,hotel,238,204.65
Private room,Los Angeles,2,hotel,207,204.65
Private room,Los Angeles,2,hotel,171,204.65
Private room,Los Angeles,2,hotel,139,204.65
Private room,Los Angeles,2,hotel,255,204.65
Private room,Los Angeles,2,hotel,111,204.65
Private room,Los Angeles,2,hotel,284,204.65
Private room,Los Angeles,2,hotel,207,204.65
Private room,Los Angeles,2,hotel,151,204.65
Private room,Los Angeles,2,hotel,119,204.65
Private room,Los Angeles,2,hotel,220,204.65
Private room,Los Angeles,2,hotel,139,204.65
Private room,Los Angeles,2,hotel,129,204.65
Private room,Los Angeles,2,hotel,135,204.65
Private room,Los Angeles,2,hotel,215,204.65
Private room,Los Angeles,2,hotel,164,204.65
Private room,Los Angeles,2,hotel,124,204.65
Private room,Los Angeles,2,hotel,80,204.65
Private room,Los Angeles,2,hotel,229,204.65
Private room,Los Angeles,2,hotel,169,204.65
Private room,Los Angeles,2,hotel,209,204.65
Private room,Los Angeles,2,hotel,89,204.65
Private room,Los Angeles,2,hotel,160,204.65
Private room,Los Angeles,2,hotel,92,204.65
Private room,Los Angeles,2,hotel,104,204.65
Private room,Los Angeles,2,hotel,148,204.65
Private room,Los Angeles,2,hotel,199,204.65
Private room,Los Angeles,2,hotel,119,204.65
Private room,Los Angeles,2,hotel,129,204.65
Private room,Los Angeles,2,hotel,80,204.65
Private room,Los Angeles,2,hotel,532,204.65
Private room,Los Angeles,2,hotel,129,204.65
Private room,Los Angeles,2,hotel,189,204.65
