Name,Price,Rating,Room.Type,City,Bed(s)
The Langham,‎$316,96,Private room,Chicago,1
Swissotel Chicago,‎$159,86,Private room,Chicago,1
Trump International Hotel & Tower Chicago,‎$296,93,Private room,Chicago,1
"Radisson Blu Aqua Hotel, Chicago, IL",‎$199,89,Private room,Chicago,1
Embassy Suites by Hilton Chicago Downtown Magnificent Mile,‎$152,86,Private room,Chicago,1
Kimpton Palomar Chicago,‎$159,91,Private room,Chicago,1
Hilton Suites Chicago-Magnificent Mile,‎$143,84,Private room,Chicago,1
Chicago's Essex Inn,‎$116,75,Private room,Chicago,1
Four Seasons Hotel Chicago,‎$325,91,Private room,Chicago,1
Joie de Vivre Lincoln,‎$169,85,Private room,Chicago,1
Thompson Chicago,‎$229,92,Private room,Chicago,1
Inn of Chicago - Magnificent Mile,‎$112,70,Private room,Chicago,1
Hyatt Regency McCormick Place,‎$134,85,Private room,Chicago,1
MileNorth,‎$127,87,Private room,Chicago,1
The Silversmith,‎$142,89,Private room,Chicago,1
Chicago Athletic Association,‎$157,90,Private room,Chicago,1
Felix,‎$127,80,Private room,Chicago,1
Fairmont Chicago Millennium Park,‎$203,83,Private room,Chicago,1
The James Chicago,‎$159,89,Private room,Chicago,1
Omni Chicago,‎$178,88,Private room,Chicago,1
Hilton Garden Inn Chicago Downtown Magnificent Mile,‎$130,87,Private room,Chicago,1
River,‎$103,85,Private room,Chicago,1
The Willows,‎$137,84,Private room,Chicago,1
The Godfrey Chicago,‎$149,88,Private room,Chicago,1
The Whitehall,‎$139,80,Private room,Chicago,1
The James Chicago,‎$159,89,Private room,Chicago,1
Chicago Athletic Association,‎$157,90,Private room,Chicago,1
Marriott Chicago Downtown Magnificent Mile,‎$219,78,Private room,Chicago,1
Sheraton Grand Chicago,‎$199,82,Private room,Chicago,1
Courtyard Chicago Downtown Magnificent Mile,‎$170,87,Private room,Chicago,1
Hyatt Chicago Magnificent Mile,‎$199,88,Private room,Chicago,1
Hilton Garden Inn Chicago Downtown Magnificent Mile,‎$119,87,Private room,Chicago,1
The Godfrey Chicago,‎$149,88,Private room,Chicago,1
Central Loop Hotel,‎$112,84,Private room,Chicago,1
Comfort Suites Chicago,‎$179,85,Private room,Chicago,1
Jaslin,‎$111,81,Private room,Chicago,1
Loews Chicago Hotel,‎$209,92,Private room,Chicago,1
DoubleTree by Hilton Chicago Magnificent Mile,‎$118,82,Private room,Chicago,1
Kimpton Palomar Chicago,‎$159,91,Private room,Chicago,1
Kimpton Monaco Chicago,‎$179,90,Private room,Chicago,1
"Club Quarters Hotel, Wacker at Michigan",‎$103,83,Private room,Chicago,1
Sofitel Chicago Water Tower,‎$202,91,Private room,Chicago,1
Congress Plaza,‎$117,68,Private room,Chicago,1
The Drake,‎$163,86,Private room,Chicago,1
Inn of Chicago - Magnificent Mile,‎$112,70,Private room,Chicago,1
La Quinta Inn & Suites Chicago Downtown,‎$159,84,Private room,Chicago,1
Chicago South Loop,‎$107,78,Private room,Chicago,1
InterContinental Chicago Magnificent Mile,‎$195,82,Private room,Chicago,1
The Peninsula Chicago,‎$399,94,Private room,Chicago,1
The Ritz-Carlton Chicago,‎$319,91,Private room,Chicago,1
Hampton Inn & Suites Chicago,‎$137,89,Private room,Chicago,1
AC Chicago,‎$201,90,Private room,Chicago,1
Comfort Suites Chicago,‎$179,78,Private room,Chicago,1
Millennium Knickerbocker Chicago,‎$169,82,Private room,Chicago,1
InterContinental Chicago Magnificent Mile,‎$212,87,Private room,Chicago,1
