Name,Price,Rating
Gramercy Park,‎$336,85
The Surrey,‎$454,90
Lotte New York Palace,‎$214,90
Innside New York NoMad,‎$203,86
Row NYC,‎$149,75
The Towers of the Waldorf Astoria New York,‎$450,85
The London NYC,‎$263,88
Four Seasons Hotel New York,‎$530,89
The Peninsula New York,"‎$1,530",91
The Roxy Hotel,‎$302,86
The Lexington,‎$154,80
Park Lane New York,‎$191,79
The Quin,‎$305,89
Bentley Hotel,‎$139,76
The Plaza,‎$544,89
Hilton Garden Inn New York-Tribeca,‎$189,82
The Westin New York at Times Square,‎$207,84
Hilton Times Square,‎$206,88
Hilton Garden Inn - West 35th Street,‎$167,87
Morgans Hotel,‎$175,85
W New York,‎$159,77
Fitzpatrick Manhattan,‎$166,88
Gild Hall,‎$175,88
Sheraton Tribeca New York Hotel,‎$163,80
Hampton Inn Manhattan-Times Square South,‎$176,84
Hampton Inn Manhattan - Times Square North,‎$149,86
Hilton Times Square,‎$179,88
Waldorf Astoria,‎$232,80
Fitzpatrick Manhattan,‎$145,88
The Marlton,‎$215,88
Crowne Plaza Times Square Manhattan,‎$171,83
Holiday Inn Manhattan 6th Ave - Chelsea,‎$152,77
The Hotel at Times Square,‎$125,77
Hotel East Houston,‎$161,81
New York Marriott Downtown,‎$206,83
Refinery Hotel,‎$229,90
Courtyard New York Times Square West,‎$173,88
Hyatt Times Square New York,‎$199,91
Courtyard New York Manhattan Midtown East,‎$175,86
Doubletree Guest Suites Times Square,‎$237,85
Ameritania at Times Square,‎$219,80
Ramada New York / Eastside,‎$125,76
Viceroy Central Park New York,‎$240,84
The Kitano New York,‎$307,88
The Premier Hotel New York,‎$225,82
Comfort Inn Times Square West,‎$215,82
Best Western Premier Herald Square,‎$180,85
Park Central,‎$137,78
Courtyard by Marriott New York Manhattan - Herald Square,‎$197,87
Fairfield Inn New York Manhattan-Financial District,‎$158,83
Park Lane New York,‎$199,86
Morgans Hotel,‎$172,88
New York Marriott East Side,‎$197,80
Hyatt Times Square New York,‎$199,88
Wellington,‎$143,88
The Manhattan at Times Square,‎$134,83
Warwick New York,‎$161,77
Tryp Times Square,‎$159,77
Hilton Garden Inn New York-Chelsea,‎$146,81
Fitzpatrick Manhattan,‎$145,83
W New York,‎$200,90
The Lucerne,‎$193,88
Hotel Mela,‎$127,91
Dumont NYC-an Affinia hotel,‎$197,86
The Westin New York at Times Square,‎$214,85
The Premier Hotel Times Square,‎$225,80
The Leon Hotel,‎$127,76
Hyatt Union Square New York,‎$246,84
Fairfield Inn & Suites New York Manhattan-Fifth Avenue,‎$152,88
Element New York Times Square West,‎$159,82
Dream Downtown,‎$245,82
Fifty NYC -an Affinia hotel,‎$180,85
Hilton New York Fashion District,‎$143,78
Hyatt Place New York Midtown South,‎$149,87
New York Marriott Marquis,‎$278,83
Hotel East Houston,‎$161,81
Hilton New York Fashion District,‎$215,83
Park Lane New York,‎$224,79
Hampton Inn Manhattan - Madison Square Garden Area,‎$218,84
"The Muse, a Kimpton Hotel",‎$254,89
Mandarin Oriental New York,‎$745,89
The Westin New York at Times Square,‎$294,84
Chambers,‎$266,88
InterContinental New York Times Square,‎$279,86
Gardens NYC-an Affinia hotel,‎$313,85
Chandler,‎$223,87
Morgans Hotel,‎$225,85
NobleDEN,‎$170,90
Comfort Inn Theatre District,‎$197,82
Element New York Times Square West,‎$219,85
The Manhattan at Times Square,‎$206,68
The Westin New York Grand Central,‎$339,85
Best Western Premier Herald Square,‎$220,85
Best Western Seaport Inn Downtown,‎$169,84
Broadway Plaza,‎$242,78
The Ritz Carlton New York Central Park,‎$695,90
Hotel Elysee New York,‎$261,90
Candlewood Times Square,‎$213,85
Courtyard by Marriott New York Manhattan - Herald Square,‎$294,87
Courtyard New York Manhattan Midtown East,‎$272,86
