Name,Price,Rating
Gramercy Park,‎$349,85
The Surrey,‎$400,90
The Peninsula New York,‎$676,91
Lotte New York Palace,‎$299,90
The Roxy Hotel,‎$229,86
Row NYC,‎$125,75
Innside New York NoMad,‎$179,86
Gansevoort Park Avenue NYC,‎$255,87
The Towers of the Waldorf Astoria New York,‎$450,85
Inn New York City,‎$129,87
Hotel Hugo,‎$207,82
Homewood Suites New York Midtown Manhattan - Times Square Hotel,‎$169,89
The London NYC,‎$329,88
Hilton Garden Inn Times Square Central,‎$135,84
Four Seasons Hotel New York,‎$745,89
Hampton Inn New York - 35th Street - Empire State Building,‎$135,83
Aloft Manhattan,‎$134,81
Wyndham New Yorker,‎$126,78
Hilton New York,‎$215,79
Hilton Garden Inn New York-Tribeca,‎$144,82
The Quin,‎$305,89
Hilton Garden Inn - West 35th Street,‎$135,87
Courtyard New York Times Square West,‎$173,88
Staybridge Suites Times Square - New York City,‎$167,87
Doubletree New York City - Chelsea,‎$132,79
Ace New York City,‎$189,83
Fifty NYC -an Affinia hotel,‎$199,84
Roger Smith Hotel,‎$191,81
Belvedere,‎$179,83
Soho Grand Hotel,‎$269,83
1 Central Park,‎$333,91
Warwick New York,‎$188,86
The Lucerne,‎$249,87
Viceroy Central Park New York,‎$269,84
Hilton Times Square,‎$206,88
Andaz 5th Avenue,‎$236,90
Trump SoHo New York,‎$390,89
Crowne Plaza Times Square Manhattan,‎$207,83
Salisbury Hotel,‎$201,80
Park Lane New York,‎$219,79
Andaz Wall Street - Hyatt,‎$172,91
Hotel Metro New York,‎$189,85
The Maritime,‎$203,85
Sofitel New York,‎$279,89
Inn New York City,‎$199,87
Sheraton New York Times Square Hotel,‎$179,81
The Westin New York at Times Square,‎$244,84
Hilton New York Fashion District,‎$175,83
Le Parker Meridien New York,‎$269,83
The Benjamin,‎$211,86
Hampton Inn Manhattan-Times Square South,‎$284,83
The Lexington,‎$375,84
The Bowery,‎$365,81
Travel Inn Hotel,‎$216,83
Candlewood Times Square,‎$251,83
Night Hotel Times Square,‎$259,91
Fitzpatrick Manhattan,‎$347,86
Mayflower Howard Johnson Long Island City,‎$138,87
Sixty Lower East Side,‎$273,84
Hampton Inn Manhattan - Madison Square Garden Area,‎$284,88
Deauville,‎$195,90
The Manhattan at Times Square,‎$219,89
Holiday Inn Express NYC Madison Square Garden,‎$299,83
Park Lane New York,‎$304,80
The Ritz Carlton Battery Park,‎$385,79
Best Western Premier Herald Square,‎$350,91
Washington Square Hotel,‎$305,85
The Carlyle,‎$795,85
Pod 39,‎$230,89
373 Fifth Avenue,‎$269,87
DoubleTree by Hilton Hotel New York - Times Square South,‎$269,81
Courtyard New York Times Square West,‎$279,84
Magnuson Convention Center,‎$214,83
The Westin New York Grand Central,‎$409,83
Hilton Garden Inn - West 35th Street,‎$322,86
Hotel Mulberry,‎$179,85
Holiday Inn Express New York City-Wall Street,‎$144,80
Comfort Inn Midtown West,‎$110,77
Riu Plaza New York Times Square,‎$159,80
Courtyard New York Times Square West,‎$170,88
Hampton Inn Manhattan/Times Square Central,‎$143,87
Courtyard New York Manhattan-Fifth Avenue,‎$172,81
Courtyard New York Manhattan Midtown East,‎$175,86
Doubletree Guest Suites Times Square,‎$244,85
"The Muse, a Kimpton Hotel",‎$203,89
Ramada New York / Eastside,‎$125,76
Omni Berkshire Place,‎$179,87
The Premier Hotel New York,‎$225,82
Tryp Times Square,‎$192,69
New York Marriott Marquis,‎$278,84
Comfort Inn Times Square West,‎$125,82
Best Western Premier Herald Square,‎$155,85
The Mansfield Hotel,‎$143,76
Wingate by Wyndham Manhattan Midtown,‎$152,79
Hotel 48LEX New York,‎$233,88
Bentley Hotel,‎$159,76
The Benjamin,‎$208,86
"Club Quarters Hotel, Grand Central",‎$143,85
Fairfield Inn New York Manhattan-Financial District,‎$122,83
Hotel Elysee New York,‎$216,90
