Name,Price,Rating
The Langham,‎$316,96
Hyatt Regency McCormick Place,‎$134,85
Swissotel Chicago,‎$159,86
Trump International Hotel & Tower Chicago,‎$296,93
Hyatt Place Chicago/Downtown-The Loop,‎$161,86
Warwick Allerton Hotel Chicago,‎$150,80
Jaslin,‎$111,81
The Whitehall,‎$139,80
Raffaello,‎$179,83
Congress Plaza,‎$117,68
The Willows,‎$137,84
Embassy Suites by Hilton Chicago Downtown Magnificent Mile,‎$152,86
Millennium Knickerbocker Chicago,‎$161,85
Sheraton Grand Chicago,‎$199,82
River,‎$103,85
Inn of Chicago - Magnificent Mile,‎$112,70
Hyatt Place Chicago - River North,‎$170,89
Chicago's Essex Inn,‎$116,75
Hyatt Regency Chicago,"‎$1,034",84
La Quinta Inn & Suites Chicago - Lake Shore,‎$159,78
Marriott Chicago Downtown Magnificent Mile,‎$219,78
Hard Rock Chicago,‎$161,82
Inn at Lincoln Park,‎$159,68
Dana Hotel & Spa,‎$189,88
The Silversmith,‎$142,89
MileNorth ,"‎$1,367",87
La Quinta Inn & Suites Chicago Downtown,"‎$1,103",84
Hilton Palmer House,"‎$1,885",83
The Ritz-Carlton Chicago,"‎$1,324",91
Millennium Knickerbocker Chicago,"‎$1,208",85
Fairfield Inn & Suites Chicago Downtown,"‎$1,088",86
Fairmont Chicago Millennium Park,"‎$1,701",83
Courtyard Chicago Downtown-River North,"‎$1,272",84
Residence Inn Chicago Downtown Magnificent Mile,"‎$1,153",87
Homewood Suites by Hilton Chicago-Downtown,"‎$1,581",87
The Drake,"‎$1,450",86
W Chicago Lakeshore,"‎$1,841",79
Holiday Inn Express & Suites Chicago West-Roselle,‎$580,80
Best Western Plus Hawthorne Terrace,"‎$1,135",85
Kimpton Hotel Burnham,"‎$1,501",89
Aloft Chicago City Center,"‎$1,078",88
Holiday Inn Chicago-Mart Plaza Riverview,"‎$1,111",82
Hilton Garden Inn Chicago/North Loop,"‎$1,352",87
Hilton Chicago O'Hare Airport,"‎$1,051",80
Renaissance Chicago O'Hare Suites,‎$933,83
Heart O' Chicago,‎$342,71
The Westin Michigan Avenue Chicago,"‎$1,602",81
Crowne Plaza Chicago Metro Downtown,"‎$1,257",81
Kimpton Allegro,"‎$1,955",84
"The Gwen, a Luxury Collection Hotel, Chicago","‎$1,313",91
The Willows,‎$137,87
SpringHill Suites Chicago Downtown - River North,‎$190,84
Club Quarters Hotel Central Loop,‎$112,83
Hilton Chicago,‎$199,91
Public Chicago,‎$183,85
Days Inn Chicago,‎$118,86
Thompson Chicago,‎$229,83
Park Hyatt Chicago,‎$336,84
Wyndham Grand Chicago Riverfront,‎$169,87
Courtyard Chicago Downtown-River North,‎$189,87
Holiday Inn Chicago-Mart Plaza Riverview,‎$127,86
Residence Inn Chicago Downtown/Loop,‎$239,79
Kinzie Hotel,‎$165,80
Warwick Allerton Hotel Chicago,‎$150,85
Raffaello,‎$179,89
Virgin Chicago,‎$179,88
Residence Inn Chicago Downtown Magnificent Mile,‎$161,82
Crowne Plaza Chicago Metro Downtown,‎$142,87
Kimpton Hotel Burnham,‎$169,80
Red Roof Inn Chicago Downtown,‎$110,83
"The Gwen, a Luxury Collection Hotel, Chicago",‎$139,71
City Suites,‎$137,81
La Quinta Inn & Suites Chicago - Lake Shore,‎$159,81
Hard Rock Chicago,‎$161,84
The Talbott Hotel,‎$152,91
The Westin Michigan Avenue Chicago,‎$229,81
Courtyard Chicago Downtown-River North,‎$199,84
Best Western Plus River North,‎$110,78
Residence Inn Chicago Downtown - River North,‎$190,89
La Quinta Inn & Suites Chicago Downtown,‎$179,84
Residence Inn Chicago Downtown Magnificent Mile,‎$161,87
Hampton Inn Chicago Downtown/N Loop/Michigan Ave,‎$161,89
Red Roof Inn Chicago Downtown,‎$140,62
Hilton Garden Inn Chicago/North Loop,‎$169,87
Holiday Inn Express Chicago - Magnificent Mile,‎$127,79
Hampton Inn Chicago Downtown-Magnificent Mile,‎$169,83
Travelodge Downtown Chicago,‎$93,67
theWit,‎$229,87
Skyblue Apartment,‎$167,81
Hyatt Centric The Loop Chicago,‎$161,88
Blake Chicago,‎$159,85
Marriott Chicago at Medical District UIC,‎$154,82
Heart O' Chicago,‎$95,71
Holiday Inn Chicago-Mart Plaza Riverview,‎$136,82
Londonhouse Chicago Curio Collection By Hilton,‎$209,84
"The Hotel Chicago Downtown, Autograph Collection",‎$169,85
W Chicago - City Center,‎$203,79
Fairfield Inn & Suites Chicago Downtown River North,‎$179,88
Holiday Inn & Suites Chicago-Downtown,‎$120,76
SpringHill Suites Chicago Downtown - River North,‎$190,86
