Price,Room.Type,City,Bed(s),Property.Form,Avg
279,Private room,la,1,hotel,197.46
645,Private room,la,1,hotel,197.46
170,Private room,la,1,hotel,197.46
209,Private room,la,1,hotel,197.46
499,Private room,la,1,hotel,197.46
228,Private room,la,1,hotel,197.46
203,Private room,la,1,hotel,197.46
278,Private room,la,1,hotel,197.46
125,Private room,la,1,hotel,197.46
349,Private room,la,1,hotel,197.46
206,Private room,la,1,hotel,197.46
219,Private room,la,1,hotel,197.46
289,Private room,la,1,hotel,197.46
97,Private room,la,1,hotel,197.46
254,Private room,la,1,hotel,197.46
299,Private room,la,1,hotel,197.46
224,Private room,la,1,hotel,197.46
232,Private room,la,1,hotel,197.46
202,Private room,la,1,hotel,197.46
188,Private room,la,1,hotel,197.46
135,Private room,la,1,hotel,197.46
309,Private room,la,1,hotel,197.46
255,Private room,la,1,hotel,197.46
124,Private room,la,1,hotel,197.46
199,Private room,la,1,hotel,197.46
329,Private room,la,1,hotel,197.46
149,Private room,la,1,hotel,197.46
178,Private room,la,1,hotel,197.46
159,Private room,la,1,hotel,197.46
275,Private room,la,1,hotel,197.46
109,Private room,la,1,hotel,197.46
159,Private room,la,1,hotel,197.46
199,Private room,la,1,hotel,197.46
149,Private room,la,1,hotel,197.46
289,Private room,la,1,hotel,197.46
163,Private room,la,1,hotel,197.46
199,Private room,la,1,hotel,197.46
259,Private room,la,1,hotel,197.46
127,Private room,la,1,hotel,197.46
216,Private room,la,1,hotel,197.46
169,Private room,la,1,hotel,197.46
383,Private room,la,1,hotel,197.46
135,Private room,la,1,hotel,197.46
233,Private room,la,1,hotel,197.46
250,Private room,la,1,hotel,197.46
130,Private room,la,1,hotel,197.46
144,Private room,la,1,hotel,197.46
215,Private room,la,1,hotel,197.46
127,Private room,la,1,hotel,197.46
139,Private room,la,1,hotel,197.46
189,Private room,la,1,hotel,197.46
203,Private room,la,1,hotel,197.46
279,Private room,la,1,hotel,197.46
389,Private room,la,1,hotel,197.46
349,Private room,la,1,hotel,197.46
199,Private room,la,1,hotel,197.46
150,Private room,la,1,hotel,197.46
209,Private room,la,1,hotel,197.46
129,Private room,la,1,hotel,197.46
95,Private room,la,1,hotel,197.46
103,Private room,la,1,hotel,197.46
159,Private room,la,1,hotel,197.46
153,Private room,la,1,hotel,197.46
170,Private room,la,1,hotel,197.46
169,Private room,la,1,hotel,197.46
179,Private room,la,1,hotel,197.46
389,Private room,la,1,hotel,197.46
249,Private room,la,1,hotel,197.46
116,Private room,la,1,hotel,197.46
160,Private room,la,1,hotel,197.46
154,Private room,la,1,hotel,197.46
112,Private room,la,1,hotel,197.46
103,Private room,la,1,hotel,197.46
269,Private room,la,1,hotel,197.46
214,Private room,la,1,hotel,197.46
129,Private room,la,1,hotel,197.46
129,Private room,la,1,hotel,197.46
263,Private room,la,1,hotel,197.46
215,Private room,la,1,hotel,197.46
162,Private room,la,1,hotel,197.46
105,Private room,la,1,hotel,197.46
119,Private room,la,1,hotel,197.46
169,Private room,la,1,hotel,197.46
278,Private room,la,1,hotel,197.46
174,Private room,la,1,hotel,197.46
92,Private room,la,1,hotel,197.46
229,Private room,la,1,hotel,197.46
180,Private room,la,1,hotel,197.46
185,Private room,la,1,hotel,197.46
148,Private room,la,1,hotel,197.46
80,Private room,la,1,hotel,197.46
200,Private room,la,1,hotel,197.46
