Accomodates,Bathroom(s),Bedroom(s),Bed(s),Check.In,Check.Out,Property.Type,Room.Type,Cost.Per.Extra.Person,Weekly.Discount(%),Monthly.Discount(%),Cancellation.Policy,Response.Time,ID,Price,e,City,Price.Per.Indv,Earliest.Check.In
2,1,1,1,11AM,3PM,Apartment,Private room,No Charge,unspecified,unspecified,Strict,unspecified,11340259,119,62,sf,59.5,11AM
2,1,1,1,9AM,3PM,Apartment,Entire home/apt,No Charge,18,42,Strict,unspecified,7952959,78,66,sf,39,9AM
1,1,1,1,11AM - 11PM,12PM,Apartment,Shared room,unspecified,3,5,Moderate,within an hour,1408281,129,130,sf,129,11AM
1,2,1,1,8AM - 10PM,9PM,Apartment,Private room,unspecified,10,0,Flexible,within a few hours,3268637,80,170,sf,80,8AM
2,1,1,1,11AM,11AM,Apartment,Private room,No Charge,10,15,Strict,within an hour,5884735,119,189,sf,59.5,11AM
1,1,1,1,11AM,10AM,Apartment,Private room,unspecified,unspecified,unspecified,Flexible,within an hour,13979723,71,271,sf,71,11AM
2,1,1,1,9AM - 5PM,1PM,Apartment,Entire home/apt,No Charge,35,40,Strict,within a few hours,6887043,119,1621,sf,59.5,9AM
2,1,0,1,11AM,3PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,13258556,120,46,ny,30,11AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,14,56,ny,14,8AM
2,1,0,1,11AM,3PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,13258556,65,88,ny,16.25,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5 the first guest,10,unspecified,Moderate,within an hour,12088134,100,112,ny,25,8AM
4,1,0,2,8AM - 12PM,12PM,Loft,Entire home/apt,No Charge,0,0,Strict,within an hour,4482049,65,113,ny,10.8333333333333,8AM
1,1,1,1,11AM,4AM,Apartment,Private room,unspecified,unspecified,unspecified,Flexible,within an hour,13682689,68,126,ny,68,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,60,159,ny,15,11AM
4,1,0,2,8AM - 12PM,12PM,Loft,Entire home/apt,No Charge,0,0,Strict,within an hour,4482049,30,162,ny,5,8AM
2,1,0,1,8AM - 12AM,11AM,Loft,Entire home/apt,unspecified,25,30,Flexible,within an hour,12232639,140,190,ny,35,8AM
2,2,1,1,8AM - 2AM,12PM,House,Private room,$5 the first guest,15,0,Strict,within an hour,4491261,60,279,ny,15,8AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5 the first guest,10,unspecified,Moderate,within an hour,12088134,125,285,ny,31.25,8AM
